1,2,3,4,5,6,7,8
149,0,0,0,0,1,0,0
0,73,0,0,0,4,0,0
1,0,41,1,0,7,0,2
0,0,1,1211,0,3,0,1
0,0,0,0,168,2,0,0
0,2,4,1,3,564,0,0
0,0,0,0,0,1,61,0
0,0,0,0,0,5,1,257
