keywords,city,Aggdata Store Number,store_number,address,state,zip_code,
Whole Foods,Jericho,6585,6585 #6585,429 North Broadway,NY,11753,
Whole Foods,Jamaica Plain,6586,6586 #6586,413 Centre Street,MA,2130,
Whole Foods,Kailua,6587,6587 #6587,"629 Kailua Road, Suite 100",HI,96734,
Whole Foods,Chicago,6588,6588 #6588,1550 N. Kingsbury Street,IL,60642,
Whole Foods,Houston,6589,6589 #6589,2955 Kirby Dr,TX,77098,
Whole Foods,Vancouver,6590,6590 #6590,2285 West 4th Avenue,BC,V6K 1N9,
Whole Foods,Honolulu,6591,6591 #6591,4211 Wai'alae Avenue,HI,96816,
Whole Foods,Gaithersburg,6592,6592 #6592,316 Kentlands Blvd,MD,20878,
Whole Foods,Lafayette,6593,6593 #6593,3502 Mt. Diablo Blvd.,CA,94549,
Whole Foods,Laguna Beach,6594,6594 #6594,283 Broadway St.,CA,92651,
Whole Foods,La Jolla,6595,6595 #6595,8825 Villa La Jolla Dr,CA,92037,
Whole Foods,Los Altos,6596,6596 #6596,4800 El Camino Real,CA,94022,
Whole Foods,Long Beach,6597,6597 #6597,6550 E. Pacific Coast Highway,CA,90803,
Whole Foods,Lexington,6599,6599 #6599,161 Lexington Green Circle,KY,40503,
Whole Foods,Laguna Niguel,6600,6600 #6600,23932 Aliso Creek Road,CA,92677,
Whole Foods,Los Gatos,6601,6601 #6601,15980 Los Gatos Blvd,CA,95032,
Whole Foods,Lake Grove,6602,6602 #6602,120 New Moriches Road,NY,11755,
Whole Foods,Chicago,6603,6603 #6603,3300 N. Ashland Ave,IL,60657,
Whole Foods,Dallas,6604,6604 #6604,2118 Abrams Road,TX,75214,
Whole Foods,Portland,6605,6605 #6605,2825 East Burnside St.,OR,97214,
Whole Foods,Austin,6606,6606 #6606,525 N Lamar Blvd.,TX,78703,
Whole Foods,Lynnwood,6607,6607 #6607,2800 SW 196th St. SW,WA,98036,
Whole Foods,Louisville,6608,6608 #6608,4944 Shelbyville Road,KY,40207,
Whole Foods,Little Rock,6609,6609 #6609,10700 N. Rodney Parham,AR,72212,
Whole Foods,Las Vegas,6610,6610 #6610,6689 Las Vegas Blvd.,NV,89119,
Whole Foods,Madison,6611,6611 #6611,3313 University Ave,WI,53705,
Whole Foods,Birmingham,6612,6612 #6612,3100 Cahaba Village Plaza,AL,35243,
Whole Foods,Vauxhall,6613,6613 #6613,2245 Springfield Ave.,NJ,7088,
Whole Foods,Franklin,6614,6614 #6614,1566 West McEwen Drive,TN,37067,
Whole Foods,Medford,6615,6615 #6615,2151 Mystic Valley Parkway,MA,2155,
Whole Foods,Marietta,6616,6616 #6616,1311 Johnson Ferry Road NE,GA,30068,
Whole Foods,New York,6617,6617 #6617,Between 2nd & 3rd Avenue,NY,10022,
Whole Foods,Manhasset,6619,6619 #6619,2101 Northern Blvd,NY,11030,
Whole Foods,Red Bank,6620,6620 #6620,471 State Route 35 North,NJ,7701,
Whole Foods,Milford,6621,6621 #6621,1686 Boston Post Road,CT,6460,
Whole Foods,Vancouver,6622,6622 #6622,815 Southeast 160th Avenue,WA,98683,
Whole Foods,Mill Valley,6623,6623 #6623,414 Miller Ave,CA,94941,
Whole Foods,Milwaukee,6624,6624 #6624,2305 N. Prospect Ave,WI,53211,
Whole Foods,Kahului,6625,6625 #6625,70 Kaahumanu Ave #B,HI,96732,
Whole Foods,Montclair,6626,6626 #6626,701 Bloomfield Ave,NJ,7042,
Whole Foods,Santa Monica,6627,6627 #6627,1425 Montana Ave.,CA,90403,
Whole Foods,Marlton,6628,6628 #6628,940 Route 73 North,NJ,8053,
Whole Foods,Monterey,6629,6629 #6629,800 Del Monte Center,CA,93940,
Whole Foods,Mason,6630,6630 #6630,5805 Deerfield Boulevard,OH,45040,
Whole Foods,Minnetonka,6631,6631 #6631,1001 Plymouth Road,MN,55305,
Whole Foods,Houston,6632,6632 #6632,701 Waugh Drive,TX,77019,
Whole Foods,Baltimore,6633,6633 #6633,1330 Smith Ave,MD,21209,
Whole Foods,Northbrook,6634,6634 #6634,840 Willow Road,IL,60062,
Whole Foods,Colorado Springs,6635,6635 #6635,3180 New Center Point,CO,80922,
Whole Foods,Newton,6636,6636 #6636,916 Walnut St,MA,2461,
Whole Foods,San Francisco,6637,6637 #6637,3950 24th Street,CA,94114,
Whole Foods,Novato,6638,6638 #6638,790 De Long Avenue,CA,94945,
Whole Foods,Napa,6639,6639 #6639,3682 Bel Aire Plaza,CA,94558,
Whole Foods,Naples,6640,6640 #6640,9101 Strada Place,FL,34108,
Whole Foods,Naperville,6641,6641 #6641,2607 W. 75th Street,IL,60540,
Whole Foods,Raleigh,6642,6642 #6642,8710 Six Forks Rd,NC,27615,
Whole Foods,Newtonville,6643,6643 #6643,647 Washington Street,MA,2458,
Whole Foods,North Wales,6644,6644 #6644,1210 Bethlehem Pike,PA,19454,
Whole Foods,Oakville,6645,6645 #6645,301 Cornwall Rd,ON,L6J 7Z5,
Whole Foods,Oklahoma City,6646,6646 #6646,6001 N. Western Ave.,OK,73118,
Whole Foods,"Thousand Oaks,",6647,6647 #6647,740 North Moorpark Rd,CA,91360,
Whole Foods,Tucson,6649,6649 #6649,7133 N Oracle Rd,AZ,85704,
Whole Foods,Upper Arlington,6650,6650 #6650,1555 W. Lane Ave,OH,43221,
Whole Foods,Alexandria,6651,6651 #6651,1700 Duke St,VA,22314,
Whole Foods,Palo Alto,6652,6652 #6652,774 Emerson Street,CA,94301,
Whole Foods,Paramus,6653,6653 #6653,300 Bergen Town Center,NJ,7652,
Whole Foods,Pasadena,6654,6654 #6654,at Rosemead Blvd.,CA,91107,
Whole Foods,El Segundo,6656,6656 #6656,760 South Sepulveda Blvd.,CA,90245,
Whole Foods,Pinecrest,6657,6657 #6657,11701 South Dixie Highway,FL,33156,
Whole Foods,Pembroke Pines,6658,6658 #6658,14956 Pines Blvd,FL,33027,
Whole Foods,Petaluma,6659,6659 #6659,621 E. Washington St,CA,94952,
Whole Foods,Palm Beach Gardens,6660,6660 #6660,11701 Lake Victoria Gardens Ave,FL,33446,
Whole Foods,Philadelphia,6661,6661 #6661,2001 Pennsylvania Avenue,PA,19130,
Whole Foods,Park City,6662,6662 #6662,1748 W Redstone Center Dr.,UT,84098,
Whole Foods,Dallas,6663,6663 #6663,"8190 Park Lane, Suite 351",TX,75231,
Whole Foods,Arlington,6664,6664 #6664,801 East Lamar Blvd.,TX,76011,
Whole Foods,Plantation,6665,6665 #6665,7720 Peters Rd,FL,33324,
Whole Foods,Plymouth Meeting,6666,6666 #6666,500 W. Germantown Pike,PA,19462,
Whole Foods,Plano,6667,6667 #6667,2201 Preston Rd,TX,75093,
Whole Foods,Atlanta,6668,6668 #6668,650 Ponce de Leon Ave NE,GA,30308,
Whole Foods,Colorado Springs,6670,6670 #6670,7635 North Academy Blvd,CO,80920,
Whole Foods,Boulder,6671,6671 #6671,2905 Pearl St,CO,80301,
Whole Foods,Princeton,6672,6672 #6672,3495 US Route 1 South,NJ,8540,
Whole Foods,Providence,6673,6673 #6673,261 Waterman St,RI,2906,
Whole Foods,Portland,6674,6674 #6674,1210 NW Couch St,OR,97209,
Whole Foods,West Vancouver,6675,6675 #6675,925 Main St,BC,V7T 2Z3,
Whole Foods,Washington,6676,6676 #6676,1440 P Street NW,DC,20005,
Whole Foods,Pittsburgh,6677,6677 #6677,5880 Centre Ave,PA,15206,
Whole Foods,San Francisco,6678,6678 #6678,450 Rhode Island St,CA,94107,
Whole Foods,Portland,6679,6679 #6679,2 Somerset St,ME,4101,
Whole Foods,Northridge,6681,6681 #6681,19340 Rinaldi Street,CA,91326,
Whole Foods,Phoenix,6682,6682 #6682,10810 N Tatum Blvd,AZ,85028,
Whole Foods,San Antonio,6683,6683 #6683,"255 E. Basse Rd, Ste. 130",TX,78209,
Whole Foods,Raleigh,6684,6684 #6684,3540 Wade Ave,NC,27607,
Whole Foods,San Ramon,6685,6685 #6685,100 Sunset Drive,CA,94583,
Whole Foods,Vancouver,6686,6686 #6686,1675 Robson Street,BC,V6G 1C8,
