keywords,city,Aggdata Store Number,store_number,address,state,zip_code,,,,,,,
Tops Friendly,North Syracuse,361,#361 #0361,3803 Brewerton Road (Airport Plaza),NY,13212,,,,,,,
Tops Friendly,Syracuse,362,#362 #0362,620 Nottingham Road,NY,13210,,,,,,,
Tops Friendly,Fayetteville,363,#363 #0363,5351 N. Burdick Street,NY,13066,,,,,,,
Tops Friendly,Sherrill,364,#364 #0364,87 E. State Street,NY,13461,,,,,,,
Tops Friendly,Manlius,365,#365 #0365,119 West Seneca Street,NY,13104,,,,,,,
Tops Friendly,Skaneateles,366,#366 #0366,40 Fennell Street,NY,13152,,,,,,,
Tops Friendly,Cazenovia,367,#367 #0367,71 Nelson Street,NY,13035,,,,,,,
Tops Friendly,Clay,368,#368 #0368,8417 Oswego Road,NY,13027,,,,,,,
Tops Friendly,Syracuse,369,#369 #0369,181 Shop City Plaza,NY,13206,,,,,,,
Tops Friendly,Syracuse,370,#370 #0370,2120 W. Genesee Street,NY,13219,,,,,,,
Tops Friendly,DeWitt,371,#371 #0371,4410 E. Genesee Street,NY,13214,,,,,,,
Tops Friendly,Syracuse,372,#372 #0372,4141 South Salina St,NY,13205,,,,,,,
Tops Friendly,Syracuse,373,#373 #0373,700 1st North Street,NY,13208,,,,,,,
Tops Friendly,Elbridge,374,#374 #0374,227 East Main Street,NY,13060,,,,,,,
Tops Friendly,Jordan,375,#375 #0375,9 Mechanic Street,NY,13080,,,,,,,
Tops Friendly,Rochester,400,#400 #0400,710 Lake Avenue,NY,14613,,,,,,,
Tops Friendly,Rochester,401,#401 #0401,450 West Avenue,NY,14611,,,,,,,
Tops Friendly,Gates,403,#403 #0403,2345 Buffalo Rd,NY,14624,,,,,,,
Tops Friendly,Rochester,407,#407 #0407,500 Elmridge Center Dr.,NY,14626,,,,,,,
Tops Friendly,Rochester,409,#409 #0409,1455 Ridge Road East,NY,14621,,,,,,,
Tops Friendly,Rochester,410,#410 #0410,North 175 Winton Road,NY,14610,,,,,,,
Tops Friendly,Brighton,412,#412 #0412,1900 Clinton Ave. South,NY,14618,,,,,,,
Tops Friendly,Ontario,413,#413 #0413,6272 Furnace Road,NY,14519,,,,,,,
Tops Friendly,Henrietta,416,#416 #0416,1215 Jefferson Rd,NY,14467,,,,,,,
Tops Friendly,Rochester,417,#417 #0417,1601 Penfield Road,NY,14625,,,,,,,
Tops Friendly,Rochester,418,#418 #0418,3507 Mt. Read / Maiden,NY,14616,,,,,,,
Tops Friendly,Fairport,419,#419 #0419,6720 Pittsford/Palmyra Rd,NY,14450,,,,,,,
Tops Friendly,Geneva,430,#430 #0430,Rt. 5 & 20 Pyramid Mall,NY,14456,,,,,,,
Tops Friendly,Avon,431,#431 #0431,270 E. Main Street,NY,14414,,,,,,,
Tops Friendly,Canandaigua,432,#432 #0432,5150 North Street,NY,14424,,,,,,,
Tops Friendly,Geneva,436,#436 #0436,381 Hamilton Street,NY,14456,,,,,,,
Tops Friendly,Hamlin,450,#450 #0450,1800 Lake Road,NY,14464,,,,,,,
Tops Friendly,Albion,451,#451 #0451,408 West Avenue,NY,14411,,,,,,,
Tops Friendly,Hilton,452,#452 #0452,98 South Avenue,NY,14468,,,,,,,
