Keywords,city,store_number,Agg store_number,address,state,zip_code
Target,Jacksonville,645,645 00000645 0000645,444 Monument Rd,FL,32225-6429
Target,Altamonte Springs,647,647 00000647 0000647,886 W State Road 436,FL,32714-3006
Target,Orlando,649,649 00000649 0000649,718 Maguire Blvd,FL,32803-3706
Target,Palm Harbor,652,652 00000652 0000652,900 E Lake Rd,FL,34685-2430
Target,Largo,654,654 00000654 0000654,10500 Ulmerton Rd,FL,33771-3544
Target,Tampa,655,655 00000655 0000655,15240 N Dale Mabry Hwy,FL,33618-1809
Target,Tampa,656,656 00000656 0000656,13658 University Plaza St,FL,33613-4649
Target,Bemidji,657,657 00000657 0000657,2100 Paul Bunyan Dr NW,MN,56601-5645
Target,Moorhead,658,658 00000658 0000658,3301 Highway 10 E,MN,56560-2516
Target,Baxter,659,659 00000659 0000659,14546 Dellwood Dr N,MN,56425-9744
Target,Fontana,660,660 00000660 0000660,16964 Slover Ave,CA,92337-7556
Target,Cottage Grove,662,662 00000662 0000662,8655 E Point Douglas Rd S,MN,55016-4035
Target,Mankato,663,663 00000663 0000663,1850 Adams St,MN,56001-4864
Target,Plymouth,664,664 00000664 0000664,4175 Vinewood Ln N,MN,55442-2624
Target,Dublin,666,666 00000666 0000666,6000 Sawmill Rd,OH,43017-1626
Target,Jacksonville,669,669 00000669 0000669,9041 Southside Blvd,FL,32256-5484
Target,Springfield,670,670 00000670 0000670,3445 Freedom Dr,IL,62704-6517
Target,Traverse City,671,671 00000671 0000671,3130 S Airport Rd W,MI,49684-8995
Target,Midland,672,672 00000672 0000672,6820 Eastman Ave,MI,48642-7805
Target,Jackson,673,673 00000673 0000673,1076 Jackson Xing,MI,49202-2039
Target,Marion,674,674 00000674 0000674,3000 W Deyoung St,IL,62959-5553
Target,Fairfield,675,675 00000675 0000675,2059 Cadenasso Dr,CA,94533-6806
Target,Salinas,676,676 00000676 0000676,1640 N Main St,CA,93906-5102
Target,Anaheim,677,677 00000677 0000677,8148 E Santa Ana Canyon Rd,CA,92808-1105
Target,Coeur dAlene,679,679 00000679 0000679,315 W Canfield Ave,ID,83815-7750
Target,Henderson,680,680 00000680 0000680,605 N Stephanie St,NV,89014-2612
Target,Kent,681,681 00000681 0000681,26301 104th Ave SE,WA,98030-7649
Target,Germantown,682,682 00000682 0000682,9235 Poplar Ave,TN,38138-7903
Target,The Woodlands,684,684 00000684 0000684,1100 Lake Woodlands Dr,TX,77380-3221
Target,Palmdale,685,685 00000685 0000685,39440 10th St W,CA,93551-3747
Target,Pensacola,686,686 00000686 0000686,4711 Bayou Blvd,FL,32503-2607
Target,Gainesville,687,687 00000687 0000687,3970 SW Archer Rd,FL,32608-2342
Target,Novato,692,692 00000692 0000692,200 Vintage Way,CA,94945-5005
Target,Brooklyn Park,693,693 00000693 0000693,7535 W Broadway Ave,MN,55428-1287
Target,Woodbury,694,694 00000694 0000694,7200 Valley Creek Plz,MN,55125-2265
Target,Franklin,695,695 00000695 0000695,1701 Galleria Blvd,TN,37067-1602
Target,Burlington,696,696 00000696 0000696,199 Cascade Mall Dr,WA,98233-3251
Target,Oro Valley,700,700 00000700 0000700,10555 N Oracle Rd,AZ,85737-9353
Target,Highland,731,731 00000731 0000731,10451 Indianapolis Blvd,IN,46322-3511
Target,Cicero,732,732 00000732 0000732,2901 S Cicero Ave,IL,60804-3637
Target,Edwardsville,733,733 00000733 0000733,2350 Troy Rd,IL,62025-2584
Target,Albany,734,734 00000734 0000734,2721 Dawson Rd,GA,31707-1672
Target,Sierra Vista,735,735 00000735 0000735,4151 E Highway 90,AZ,85635-2425
Target,Norco,736,736 00000736 0000736,1290 Hamner Ave,CA,92860-3117
Target,Pinole,737,737 00000737 0000737,1400 Fitzgerald Dr,CA,94564-2250
Target,Tracy,738,738 00000738 0000738,2800 Naglee Rd,CA,95304-7307
Target,Mary Esther,740,740 00000740 0000740,250 E Miracle Strip Pkwy,FL,32569-1924
Target,Miami,746,746 00000746 0000746,15005 SW 88th St,FL,33196-1314
Target,Duluth,749,749 00000749 0000749,5950 State Bridge Rd,GA,30097-6438
Target,Valdosta,750,750 00000750 0000750,1815 Norman Dr,GA,31601-3502
Target,Vadnais Heights,751,751 00000751 0000751,975 County Road E,MN,55127-7114
Target,Palatine,753,753 00000753 0000753,679 E Dundee Rd,IL,60074-2817
