keywords,city,Agg store_number,store_number,address,state,zip_code
Dollar Tree,Middletown,3031,3031 000003031X 00003031X 0003031X 003031X 03031X,823 N Broad Street,DE,19709
Dollar Tree,Oklahoma City,3032,3032 000003032X 00003032X 0003032X 003032X 03032X,2221 NW 138th St # 1,OK,73134
Dollar Tree,Spanish Fort,3033,3033 000003033X 00003033X 0003033X 003033X 03033X,"10200 Eastern Shore, Blvd. Ste 180",AL,36527
Dollar Tree,Amarillo,3034,3034 000003034X 00003034X 0003034X 003034X 03034X,3405 S Georgia St,TX,79109
Dollar Tree,Barstow,3035,3035 000003035X 00003035X 0003035X 003035X 03035X,1264 E Main St,CA,92311
Dollar Tree,Indianapolis,3036,3036 000003036X 00003036X 0003036X 003036X 03036X,5542 E 82nd Street,IN,46250
Dollar Tree,Woodhaven,3037,3037 000003037X 00003037X 0003037X 003037X 03037X,25101 Allen Rd,MI,48183
Dollar Tree,Catonsville,3038,3038 000003038X 00003038X 0003038X 003038X 03038X,6503 Baltimore Natl Pike,MD,21228
Dollar Tree,Oak Park,3039,3039 000003039X 00003039X 0003039X 003039X 03039X,23090 Coolidge Hwy,MI,48237
Dollar Tree,Towson,3040,3040 000003040X 00003040X 0003040X 003040X 03040X,1524 E. Joppa Road,MD,21286
Dollar Tree,Bay Shore,3041,3041 000003041X 00003041X 0003041X 003041X 03041X,894 Sunrise Highway,NY,11706
Dollar Tree,Levittown,3042,3042 000003042X 00003042X 0003042X 003042X 03042X,3767 Hempstead Tpke,NY,11756
Dollar Tree,Patchogue,3043,3043 000003043X 00003043X 0003043X 003043X 03043X,167 N Service Rd.,NY,11772
Dollar Tree,Ann Arbor,3044,3044 000003044X 00003044X 0003044X 003044X 03044X,3590 Washtenaw St,MI,48104
Dollar Tree,Sarasota,3045,3045 000003045X 00003045X 0003045X 003045X 03045X,3660 S Tuttle Avenue,FL,34239
Dollar Tree,Apple Valley,3046,3046 000003046X 00003046X 0003046X 003046X 03046X,7350 153rd St W,MN,55124
Dollar Tree,Saint Louis,3047,3047 000003047X 00003047X 0003047X 003047X 03047X,"1135 S Kirkwood Rd, #5",MO,63122
Dollar Tree,Warren,3048,3048 000003048X 00003048X 0003048X 003048X 03048X,2295 E 10 Mile Rd,MI,48091
Dollar Tree,Cypress,3050,3050 000003050X 00003050X 0003050X 003050X 03050X,26076 NW Freeway,TX,77429
Dollar Tree,Huntsville,3051,3051 000003051X 00003051X 0003051X 003051X 03051X,"2250 Sparkman Dr, Suite 1100",AL,35810
Dollar Tree,Titusville,3052,3052 000003052X 00003052X 0003052X 003052X 03052X,621 Cheney Hwy,FL,32780
Dollar Tree,Greenville,3053,3053 000003053X 00003053X 0003053X 003053X 03053X,300 S Greenville W Dr,MI,48838
Dollar Tree,N. Charleston,3054,3054 000003054X 00003054X 0003054X 003054X 03054X,5160 Ashley Phosphate Rd,SC,29418
Dollar Tree,Clover,3055,3055 000003055X 00003055X 0003055X 003055X 03055X,849 Bethel St,SC,29710
Dollar Tree,Lakewood,3056,3056 000003056X 00003056X 0003056X 003056X 03056X,10565 W Colfax Avenue,CO,80215
Dollar Tree,Ocean,3057,3057 000003057X 00003057X 0003057X 003057X 03057X,2309 State Route 66,NJ,7712
Dollar Tree,El Cerrito,3058,3058 000003058X 00003058X 0003058X 003058X 03058X,11555 San Pablo Ave.,CA,94530
Dollar Tree,Morton Grove,3059,3059 000003059X 00003059X 0003059X 003059X 03059X,6929 Dempster St.,IL,60053
Dollar Tree,Idaho Falls,3060,3060 000003060X 00003060X 0003060X 003060X 03060X,1513 Northgate Mile,ID,83401
Dollar Tree,Brawley,3061,3061 000003061X 00003061X 0003061X 003061X 03061X,"283 Main St., #C",CA,92227
Dollar Tree,Worcester,3062,3062 000003062X 00003062X 0003062X 003062X 03062X,490 Lincoln St,MA,1605
Dollar Tree,Kent,3063,3063 000003063X 00003063X 0003063X 003063X 03063X,23406 PACIFIC HWY S,WA,98032
Dollar Tree,Somersworth,3064,3064 000003064X 00003064X 0003064X 003064X 03064X,451 High St.,NH,3878
Dollar Tree,Brentwood,3065,3065 000003065X 00003065X 0003065X 003065X 03065X,1612 Galleria Blvd,TN,37027
Dollar Tree,Madison,3066,3066 000003066X 00003066X 0003066X 003066X 03066X,"402 Clifty Dr., Suite 4",IN,47250
Dollar Tree,La Grande,3067,3067 000003067X 00003067X 0003067X 003067X 03067X,"2212 Island Ave, Suite 210",OR,97850
Dollar Tree,Houston,3068,3068 000003068X 00003068X 0003068X 003068X 03068X,10261 North Fwy Ste 100,TX,77037
Dollar Tree,Hampton,3069,3069 000003069X 00003069X 0003069X 003069X 03069X,11337 Tara Blvd,GA,30228
Dollar Tree,Great Falls,3070,3070 000003070X 00003070X 0003070X 003070X 03070X,209 Northwest Byp,MT,59404
Dollar Tree,Lebanon,3071,3071 000003071X 00003071X 0003071X 003071X 03071X,"1201 Quentin Rd., #8",PA,17042
Dollar Tree,Mount Vernon,3072,3072 000003072X 00003072X 0003072X 003072X 03072X,"220 E. College Way, Ste 120",WA,98273
Dollar Tree,Saint Paul,3073,3073 000003073X 00003073X 0003073X 003073X 03073X,"10150 Hudson Road, Suite 150",MN,55129
Dollar Tree,Springville,3074,3074 000003074X 00003074X 0003074X 003074X 03074X,"231 S Cascade Dr., Ste 145",NY,14141
Dollar Tree,Thornton,3075,3075 000003075X 00003075X 0003075X 003075X 03075X,9151 N Washington St,CO,80229
Dollar Tree,Redondo Beach,3076,3076 000003076X 00003076X 0003076X 003076X 03076X,1206 Beryl Street,CA,90277
Dollar Tree,Cheney,3077,3077 000003077X 00003077X 0003077X 003077X 03077X,2424 First St.,WA,99004
Dollar Tree,Colton,3078,3078 000003078X 00003078X 0003078X 003078X 03078X,1157 Mt. Vernon Avenue,CA,92324
Dollar Tree,Cairo,3079,3079 000003079X 00003079X 0003079X 003079X 03079X,331 8th Avenue NE,GA,39828
Dollar Tree,Jacksonville,3080,3080 000003080X 00003080X 0003080X 003080X 03080X,7200 Normandy Blvd,FL,32205
Dollar Tree,Richmond,3081,3081 000003081X 00003081X 0003081X 003081X 03081X,8920 Patterson Ave,VA,23229
Dollar Tree,Kewanee,3082,3082 000003082X 00003082X 0003082X 003082X 03082X,"150 E South St., Suites A & B",IL,61443
Dollar Tree,Littleton,3083,3083 000003083X 00003083X 0003083X 003083X 03083X,556 Meadow St.,NH,3561
Dollar Tree,South Portland,3084,3084 000003084X 00003084X 0003084X 003084X 03084X,"198 Maine Mall Rd, Suite 1",ME,4106
Dollar Tree,Lynn,3085,3085 000003085X 00003085X 0003085X 003085X 03085X,759 Lynnway,MA,1905
Dollar Tree,Galesburg,3086,3086 000003086X 00003086X 0003086X 003086X 03086X,1430 N Henderson St,IL,61401
Dollar Tree,Flowood,3087,3087 000003087X 00003087X 0003087X 003087X 03087X,"132 Lakeland Heights, Blvd Ste J",MS,39232
Dollar Tree,Lawrence,3088,3088 000003088X 00003088X 0003088X 003088X 03088X,"2108 W 27th Street, Ste.A-5",KS,66047
Dollar Tree,Midland,3089,3089 000003089X 00003089X 0003089X 003089X 03089X,"2306 Rankin Hwy., Suite 106",TX,79701
Dollar Tree,Garden City,3090,3090 000003090X 00003090X 0003090X 003090X 03090X,662 Stewart Avenue,NY,11530
Dollar Tree,West Babylon,3091,3091 000003091X 00003091X 0003091X 003091X 03091X,771 Montauk Hwy,NY,11704
Dollar Tree,Shirley,3092,3092 000003092X 00003092X 0003092X 003092X 03092X,"800 Montauk Hwy, Suite 9",NY,11967
Dollar Tree,Commack,3093,3093 000003093X 00003093X 0003093X 003093X 03093X,5014 Jericho Tpke,NY,11725
Dollar Tree,Staten Island,3094,3094 000003094X 00003094X 0003094X 003094X 03094X,2600 Hylan Blvd.,NY,10306
Dollar Tree,Poughkeepsie,3095,3095 000003095X 00003095X 0003095X 003095X 03095X,2585 South Rd.,NY,12601
Dollar Tree,Bronx,3096,3096 000003096X 00003096X 0003096X 003096X 03096X,"2047 Bartow Ave, Co Op City",NY,10475
Dollar Tree,Monroe,3097,3097 000003097X 00003097X 0003097X 003097X 03097X,791 Route 17 M,NY,10950
Dollar Tree,Linden,3098,3098 000003098X 00003098X 0003098X 003098X 03098X,1601 W Edgar Rd,NJ,7036
Dollar Tree,Union,3099,3099 000003099X 00003099X 0003099X 003099X 03099X,2485 Rte 22 W,NJ,7083
Dollar Tree,Closter,3100,3100 000003100X 00003100X 0003100X 003100X 03100X,77 Vervalen St,NJ,7624
Dollar Tree,Clifton,3101,3101 000003101X 00003101X 0003101X 003101X 03101X,1053 Bloomfield Ave,NJ,7012
