Keywords,city,store_number,store_number,address,state,zip_code
Publix,Orlando,133,133 #0133 #133,4870 S Apopka Vineland Rd,FL,32819-3127
Publix,St Pete Beach,139,139 #0139 #139,4655 Gulf Blvd,FL,33706-2405
Publix,Saint Petersburg,140,140 #0140 #140,120 Carillon Pkwy,FL,33716-1201
Publix,Brentwood,142,142 #0142 #142,8105 Moores Ln,TN,37027-8020
Publix,Lake Worth,143,143 #0143 #143,1910 Lake Worth Rd,FL,33461-4228
Publix,Tarpon Springs,144,144 #0144 #144,40932 US Highway 19 N,FL,34689-5446
Publix,Villa Rica,145,145 #0145 #145,2000 Mirror Lake Blvd,GA,30180-2124
Publix,Kennesaw,146,146 #0146 #146,4430 Wade Green Rd NW Ste 100,GA,30144-1267
Publix,Sarasota,148,148 #0148 #148,5391 Fruitville Rd,FL,34232-6402
Publix,Santa Rosa Beach,153,153 #0153 #153,110 Watercolor Way,FL,32459-7354
Publix,Marietta,155,155 #0155 #155,1100 Johnson Ferry Rd,GA,30068-2794
Publix,Fort Myers,157,157 #0157 #157,19100 S Tamiami Trl,FL,33908-1011
Publix,Franklin,160,160 #0160 #160,2020 Fieldstone Pkwy,TN,37069-4337
Publix,Lehigh Acres,162,162 #0162 #162,5781 Lee Blvd,FL,33971-6337
Publix,Homewood,165,165 #0165 #165,411 Green Springs Hwy,AL,35209-4909
Publix,Miramar,167,167 #0167 #167,6890 Miramar Pkwy,FL,33023-6000
Publix,Naples,172,172 #0172 #172,4601 9th St N,FL,34103-3004
Publix,Franklin,176,176 #0176 #176,1021 Riverside Dr,TN,37064-6500
Publix,Jacksonville,177,177 #0177 #177,9964 Old Baymeadows Rd,FL,32256-8103
Publix,Jacksonville,178,178 #0178 #178,13170 Atlantic Blvd Ste 29,FL,32225-4150
Publix,Palm Beach Gardens,179,179 #0179 #179,11566 US Highway 1,FL,33408-3019
Publix,Lake Worth,180,180 #0180 #180,7745 Lake Worth Rd,FL,33467-2536
Publix,Delray Beach,181,181 #0181 #181,1538 S Federal Hwy,FL,33483-5032
Publix,Hermitage,182,182 #0182 #182,4670 Lebanon Pike,TN,37076-1314
Publix,Lake Worth,184,184 #0184 #184,8899 Hypoluxo Rd,FL,33467-5203
Publix,Hialeah,188,188 #0188 #188,8601 NW 186th St,FL,33015-2553
Publix,Delray Beach,195,195 #0195 #195,4771 W Atlantic Ave,FL,33445-3838
Publix,Boynton Beach,196,196 #0196 #196,133 N Congress Ave,FL,33426-4209
