Keyword,city,Agg store_number,store_number,address,state,zip_code
Fred M Fuel,Port Orchard,70100655,#655 70100655 655,1900 Se Sedgwick Rd,WA,98366
Fred M Fuel,Anchorage,70100656,#656 70100656 656,2300 Abbott Rd,AK,99507
Fred M Fuel,Spokane,70100657,#657 70100657 657,400 S Thor St,WA,99202
Fred M Fuel,Issaquah,70100658,#658 70100658 658,6100 E Lake Sammamish Pkwy Se,WA,98029
Fred M Fuel,Tumwater,70100659,#659 70100659 659,555 Trosper Rd Sw,WA,98512
Fred M Fuel,Wood Village,70100660,#660 70100660 660,22855 Ne Park Ln,OR,97060
Fred M Fuel,Hillsboro,70100661,#661 70100661 661,22075 Nw Imbrie Dr,OR,97124
Fred M Fuel,Boise,70100662,#662 70100662 662,5230 W Franklin Rd,ID,83705
Fred M Fuel,Sandy,70100663,#663 70100663 663,16625 Se 362Nd Dr,OR,97055
Fred M Fuel,Redmond,70100664,#664 70100664 664,17667 Ne 76Th St,WA,98052
Fred M Fuel,Sumner,70100665,#665 70100665 665,1201 Valley Ave E,WA,98390
Fred M Fuel,Bellingham,70100667,#667 70100667 667,1225 W Bakerview Rd,WA,98226
Fred M Fuel,Eagle River,70100668,#668 70100668 668,13401 Old Glenn Hwy,AK,99577
Fred M Fuel,Palmer,70100671,#671 70100671 671,650 N Cobb St,AK,99645
Fred M Fuel,Snohomish,70100681,#681 70100681 681,2801 Bickford Ave,WA,98290
Fred M Fuel,Maple Valley,70100682,#682 70100682 682,26520 Maple Valley-Black Diamond Rd Se,WA,98038
Fred M Fuel,Vancouver,70100683,#683 70100683 683,2500 Columbia House Blvd,WA,98661
Fred M Fuel,Meridian,70100685,#685 70100685 685,1400 W Chinden Blvd,ID,83646
Fred M Fuel,Lynnwood,70100688,#688 70100688 688,2902 164Th St Sw,WA,98087
