Keywords,city,store_number,Agg store_number,address,state,zip_code
PetSmart,Rohnert Park,47,47 #47 047,575 Rohnert Park Expwy,CA,94928
PetSmart,Roseville,48,48 #48 048,318 N Sunrise Blvd,CA,95661
PetSmart,Rancho Cordova,49,49 #49 049,10830 Olson Dr,CA,95670
PetSmart,Sacramento,50,50 #50 050,1738 Watt Ave,CA,95825
PetSmart,Citrus Heights,52,52 #52 052,6434 Sunrise Blvd,CA,95610
PetSmart,Sacramento,53,53 #53 053,3641 Truxel Rd,CA,95834
PetSmart,Folsom,54,54 #54 054,2705 E Bidwell St,CA,95630
PetSmart,San Leandro,55,55 #55 055,15555 E 14th St,CA,94578
PetSmart,Pittsburg,56,56 #56 056,4655 Century Blvd,CA,94565
PetSmart,Dublin,59,59 #59 059,6960 Amador Plaza Rd,CA,94568
PetSmart,Antioch,60,60 #60 060,5879 Lone Tree Way,CA,94531
PetSmart,Concord,61,61 #61 061,1700 Willow Pass Rd,CA,94520
PetSmart,Daly City,63,63 #63 063,315 Gellert Blvd,CA,94015
PetSmart,Milpitas,70,70 #70 070,175 Ranch Dr,CA,95035
PetSmart,Campbell,71,71 #71 071,850 W Hamilton Ave,CA,95008
PetSmart,Gilroy,72,72 #72 072,6755 Camino Arroyo Bldg 5,CA,95020
PetSmart,Santa Cruz,73,73 #73 073,490 River St,CA,95060
PetSmart,Salinas,74,74 #74 074,1265 N Davis Rd,CA,93907
PetSmart,Sand City,75,75 #75 075,2020 California Ave,CA,93955
PetSmart,Santa Maria,76,76 #76 076,2306 S Bradley Rd,CA,93455
PetSmart,Modesto,81,81 #81 081,2100 Mc Henry Ave,CA,95350
PetSmart,Fresno,82,82 #82 082,3220 W Shaw Ave,CA,93711
PetSmart,Clovis,83,83 #83 083,470 Shaw Ave,CA,93612
PetSmart,Bakersfield,84,84 #84 084,2661 Oswell St,CA,93306
PetSmart,Bakersfield,86,86 #86 086,4100 Ming Ave,CA,93309
PetSmart,Victorville,87,87 #87 087,12624 Amargosa Rd,CA,92392
PetSmart,Fountain Valley,90,90 #90 090,17940 Newhope St,CA,92708
PetSmart,Lancaster,94,94 #94 094,44551 Valley Central Way,CA,93536
PetSmart,Signal Hill,96,96 #96 096,2550 Cherry Ave,CA,90755
PetSmart,Santa Ana,97,97 #97 097,2140 E 17th St,CA,92705
PetSmart,Yorba Linda,98,98 #98 098,5521 Mirage St,CA,92887
PetSmart,San Juan Capistrano,99,99 #99 099,33963 Doheny Park Rd,CA,92675
PetSmart,Stevenson Ranch,100,100 #100 0100,24965 Pico Canyon Rd,CA,91381
