UNIQUE_TRANSACTION_ID|DESCRIPTION|MERCHANT_NAME|FILE_CREATED_DATE|TRANSACTION_BASE_TYPE|AMOUNT
100013722559263399|PAPA JOHNS #2227.COM|Papa Murphy's|2013-03-09|debit|13.57
1000281249405249|PAPA JOHNS 530 XXXXXXX TOWSON       MD|Papa Murphy's|2013-06-11|debit|36.26
1000524442938241|PAPA JOHNS 0959COM  XXXXX0041 XXXXX9800 PA|Papa Murphy's|2012-06-23|debit|30.53
1000524468787984|PAPA JOHNS XXXXXCOM  XXXXX0043 XXXXX4700 KY|Papa Murphy's|2013-10-29|debit|21.43
10006164366314019|PAPA JOHN'S #3163 WILLISTON PARNY|Papa Murphy's|2012-12-10|debit|11.95
10006956513567943|PAPA JOHN'S #XXXXX XXX-XXX-XXXX KS XXXXX USA|Papa Murphy's|2015-02-18|debit|40.56
10005640702915059|PAPA JOHNS #1550 LEESVILLE LA - EATING PLACES RESTAURANTS|Papa Murphy's|2012-05-06|debit|32.0
10005640843810081|PAPA JOHNS #1684         FREDERICKSBURVA|Papa Murphy's|2012-11-20|debit|77.4
100056401272196846|PAPA JOHNS 9742    QPS   SAN JUAN     PR|Papa Murphy's|2014-03-25|debit|12.83
10006164209879881|PAPAJOHN'S#4056.COM DANVILLE CA|Papa Murphy's|2012-05-29|debit|16.0
100056401609258227|PAPA JOHN'S #XXXXX       XXX-XXX-XXXX NC|Papa Murphy's|2015-01-24|debit|20.48
10005640793665727|PAPA JOHNS #0947         SAN ANTONIO  TX|Papa Murphy's|2012-09-08|debit|23.4
10006164813997409|PAPA JOHN'S #XXXXX XXX-XXX-XXXX IL|Papa Murphy's|2014-09-02|debit|29.19
1000524458137485|PAPA JOHNS 1450  XXXXX0041 XXXXX1664 KY|Papa Murphy's|2013-04-17|debit|8.47
10006164282574972|PAPA JOHN'S #2128.COM TULSA OK|Papa Murphy's|2012-08-01|debit|17.69
100056401620533480|PAPA JOHN'S #XXXXX       APEX         NC|Papa Murphy's|2015-02-03|debit|13.93
100056401019441321|PAPA JOHN'S #3863.COM    THE COLONY   TX|Papa Murphy's|2013-06-29|debit|35.52
10006164340937393|PAPA JOHN'S #1140 TULSA OK|Papa Murphy's|2012-10-30|debit|13.02
10005640690196160|PAPA JOHNS|Papa Murphy's|2012-04-14|debit|33.39
10005640762399543|PAPA JOHNS #1759.COM     HONOLULU     HI|Papa Murphy's|2012-07-25|debit|25.97
10006164732973512|PAPA JOHN'S XXXXX.COM XXX-XXX-XXXX FL|Papa Murphy's|2014-05-19|debit|7.96
10005640738289218|PAPA JOHN'S #2690.COM    ST. CLOUD    MN|Papa Murphy's|2012-06-20|debit|18.54
100013722615588883|PAPA JOHNS 836.COM     XXX-XXX-XXXX VA|Papa Murphy's|2013-04-15|debit|29.89
10006164415176222|PAPA JOHN'S #2726 LAWNDALE CA|Papa Murphy's|2013-02-25|debit|11.99
100013723041248906|PAPA JOHN'S #XXXXX.COM XXX-XXX-XXXX NC|Papa Murphy's|2014-02-18|debit|25.36
100056401010056576|PAPA JOHN'S #0195        CONWAY       AR|Papa Murphy's|2013-06-18|debit|13.05
971000522064257608|PAPA JOHNS 307.COM     XXX-XXX-XXXX NC|Papa Murphy's|2012-04-18|debit|21.22
100056401330564462|PAPA JOHN'S XXXXX.COM    XXX-XXX-XXXX TX|Papa Murphy's|2014-05-21|debit|29.82
100056401491314164|PAPA JOHN'S #XXXXX.COM   XXX-XXX-XXXX GA|Papa Murphy's|2014-10-15|debit|28.96
100013723224079800|PAPA JOHN'S #XXXXX|Papa Murphy's|2014-06-25|debit|14.17
100056401628650294|PAPA JOHN'S #XXXXX.COM   XXX-XXX-XXXX VA|Papa Murphy's|2015-02-10|debit|28.24
100056401173556687|PAPA JOHN'S #XXXXX.COM   XXX-XXX-XXXX OK|Papa Murphy's|2013-12-16|debit|40.99
100013722740547501|PAPA JOHN'S #0290.COM,SAINT LOUIS,MO,USA|Papa Murphy's|2013-07-15|debit|31.04
100056401105771006|PAPA JOHN'S #XXXXX.COM   XXX-XXX-XXXX MS|Papa Murphy's|2013-10-08|debit|27.24
10005640763161867|PAPA JOHNS #2148.COM 3000PEORIA       AZ|Papa Murphy's|2012-07-26|debit|12.09
1000524463718581|PAPA JOHNS 4282  XXXXX0041 AVON OH|Papa Murphy's|2013-07-30|debit|12.99
100013722795367042|PAPAJOHN'S#0176.COM    XXX-XXX-XXXX TN|Papa Murphy's|2013-08-23|debit|9.93
100056401415930459|PAPA JOHN'S #XXXXX.COM|Papa Murphy's|2014-08-08|debit|6.26
10005244100010084|PAPA JOHNS XXXXX  XXXXX0043 XXXXX9004 NC|Papa Murphy's|2015-01-22|debit|14.01
100056401414167371|PAPA JOHN'S XXXXX.COM    XXX-XXX-XXXX MD|Papa Murphy's|2014-08-07|debit|53.45
