UNIQUE_TRANSACTION_ID|DESCRIPTION|MERCHANT_NAME|FILE_CREATED_DATE|TRANSACTION_BASE_TYPE|AMOUNT
10006164449438816|HARDEE'S #1300 BUFFALO MO|Hardee's|2013-04-17|debit|6.26
10005640770245359|HARDEE'S XXXXXXX   QPS   MARYVILLE    TN|Hardee's|2012-08-06|debit|8.6
10006164741887166|HARDEES HUNTINGTON WV|Hardee's|2014-05-29|debit|7.27
100013723087281607|HARDEE'S XXXXXXX|Hardee's|2014-03-20|debit|1.8
10005640859283408|HARDEE'S XXXXXXX   QPS   GOOSE CREEK  SC|Hardee's|2012-12-10|debit|8.83
100013723303356972|HARDEE'S SIOUX CITY IA XXXXX USA|Hardee's|2014-08-22|debit|18.36
100056401664573022|HARDEE'S #3401    Q87 006GREAT FALLS  MT|Hardee's|2015-03-14|debit|8.14
100013722673013716|HARDEE'S XXXXXXX QPS|Hardee's|2013-05-27|debit|5.48
100056401405362896|HARDEE'S #3401    QQ87   GREAT FALLS  MT|Hardee's|2014-07-30|debit|17.85
10006164923741982|HARDEES 1342 Q88 LELAND NC|Hardee's|2015-01-26|debit|5.34
100056401610718889|HARDEES 2940 0018        RICHMOND     VA|Hardee's|2015-01-26|debit|9.35
100056401645372781|5677 HARDEES             SAN DIEGO    CA|Hardee's|2015-02-25|debit|11.48
100056401218277451|HARDEE'S #1503           DONALSONVILLEGA|Hardee's|2014-01-29|debit|24.77
100013722845275490|HARDEES XXXXXX         NORTH LITTLE AR|Hardee's|2013-09-29|debit|3.1
10006956268752221|HARDEE'S XXXXXXX|Hardee's|2014-07-03|debit|13.55
100056401235769844|HARDEE'S XXXXXXX   QPS   JACKSONVILLE FL|Hardee's|2014-02-17|debit|5.24
100056401709488508|HARDEES 1830       Q88   HAMPSTEAD    NC|Hardee's|2015-04-21|debit|5.86
10005640910819337|HARDEES 1643       Q88   JACKSONVILLE NC|Hardee's|2013-02-15|debit|8.11
100056401077776243|HARDEE'S XXXXXXX         MOUNT JULIET TN|Hardee's|2013-09-05|debit|7.4
100056401730905139|HARDEES 1346 COURTLAND VA|Hardee's|2015-05-08|debit|5.6
1000281253179572|HARDEES 2829           SUFFOLK      VA|Hardee's|2013-07-03|debit|4.49
100013723143782299|HARDEE'S XXXXXXX       SUMMERVILLE  SC|Hardee's|2014-04-28|debit|10.3
100056401155193566|HARDEES OF HOM HOMEWOOD AL|Hardee's|2013-11-26|debit|4.8
1000164468240953|HARDEES XXXXXX                  -XXXXXXXXXXXXXXXXXXXXXXX|Hardee's|2014-12-24|debit|7.62
100056401057471350|HARDEES 2993       Q88   CHESAPEAKE   VA|Hardee's|2013-08-13|debit|10.67
100081642717276987|HARDEE'S XXXXXXX       WEST COLUMBIASC|Hardee's|2013-06-27|debit|7.68
