UNIQUE_TRANSACTION_ID|DESCRIPTION|MERCHANT_NAME|FILE_CREATED_DATE|TRANSACTION_BASE_TYPE|AMOUNT
10005640647065335|BONEFISH 7050            ORMOND BEACH FL|Bonefish Grill|2012-01-27|debit|23.39
10002812248441763|BONEFISH 7074|Bonefish Grill|2015-04-06|debit|39.4
10005640868177668|BONEFISH 7015            DESTIN       FL|Bonefish Grill|2012-12-20|debit|53.8
100056401465060808|BONEFISH GRILL #9415     FAYETTEVILLE NC|Bonefish Grill|2014-09-22|debit|16.0
100056401553132364|BONEFISH GRILL #0306     LANGHORNE    PA|Bonefish Grill|2014-12-08|debit|82.31
10005640643140679|BONEFISH 0706            KINGSTOWNE   VA|Bonefish Grill|2012-01-20|debit|27.31
10006164838210380|BONEFISH 7404 SKOKIE IL|Bonefish Grill|2014-10-06|debit|139.74
10005640842566423|BONEFISH 7047            PLANTATION   FL|Bonefish Grill|2012-11-17|debit|41.53
1000524435112469|ARROWEYEBONEFISHGRILL  XXXXX0048 HENDERSON NV|Bonefish Grill|2012-01-11|debit|29.5
10006164865043846|BONEFISH 7102 AUGUSTA GA|Bonefish Grill|2014-11-10|debit|22.76
10005640966862653|BONEFISH 7851            LEXINGTON    KY|Bonefish Grill|2013-04-30|debit|46.92
100013722937156399|BONEFISH 7071          OCALA        FL|Bonefish Grill|2013-12-07|debit|34.52
10006164909862013|BONEFISH GRILL #9310 ROCKVILLE CEN NY|Bonefish Grill|2015-01-06|debit|63.38
10005640748929725|BONEFISH 1102|Bonefish Grill|2012-07-06|debit|72.94
100056401450857059|BONEFISH 7101            ST SIMONS ISLGA|Bonefish Grill|2014-09-09|debit|57.31
100013723451540135|BONEFISH 7075|Bonefish Grill|2014-11-28|debit|54.59
10006164985743471|BONEFISH 9102 ISELIN NJ|Bonefish Grill|2015-04-17|debit|80.0
100056401682324725|BONEFISH 7851            LEXINGTON    KY|Bonefish Grill|2015-03-30|debit|6.36
100013723648286132|BONEFISH 7046            CAPE CORAL   FL|Bonefish Grill|2015-03-14|debit|30.65
10005640691817002|BONEFISH 0754|Bonefish Grill|2012-04-17|debit|68.84
