UNIQUE_TRANSACTION_ID|DESCRIPTION|MERCHANT_NAME|FILE_CREATED_DATE|TRANSACTION_BASE_TYPE|AMOUNT
100056401088189003|CARLS JR 7777            FOUNTAIN     CO|Carl's Jr.|2013-09-17|debit|8.06
10006164170607190|CARL'S JR #705     Q46 FOSTER CITY   CA|Carl's Jr.|2012-03-21|debit|4.97
100056401104439805|CARL'S JR XXXXXXX        LODI         CA|Carl's Jr.|2013-10-07|debit|3.23
10005640840351029|CARL'S JR #7453    Q85   KEIZER       OR|Carl's Jr.|2012-11-14|debit|7.67
10006164352214453|CARL'S JR XXXXXXX 0075 NEW BRAUNFELS|Carl's Jr.|2012-11-19|debit|25.36
100013722992231117|CARL'S JR XXXXXXX  QPS|Carl's Jr.|2014-01-14|debit|7.21
100056401129667476|CARL'S JR XXXXXXX 0090   UPLAND       CA|Carl's Jr.|2013-11-02|debit|9.57
10002812245936945|CARL'S JR 864 ROHNERT PARK CA|Carl's Jr.|2015-04-01|debit|6.5
100056401415824394|CARL'S JR #1837          YUMA         AZ|Carl's Jr.|2014-08-08|debit|19.79
100056401072940103|CARL'S JR XXXXXXX LOS ANGELES CA|Carl's Jr.|2013-08-30|debit|6.54
10006164397390734|CARL'S JR XXXXXXX QPS IRVINE CA|Carl's Jr.|2013-01-24|debit|3.88
100056401585180216|CARL'S JR 1723           LAWTON       OK|Carl's Jr.|2015-01-02|debit|11.19
10006164429347706|CARL'S JR XXXXXXX QPS VENTURA CA|Carl's Jr.|2013-03-18|debit|6.43
100013722584953526|CARL'S JR.             AUBURN       CA|Carl's Jr.|2013-03-30|debit|12.66
10005640765063121|CARL'S JR #886     Q40   FALLBROOK    CA|Carl's Jr.|2012-07-30|debit|7.42
10006164675150604|CARL'S JR XXXXXXX QPS SAN DIEGO CA|Carl's Jr.|2014-02-28|debit|6.04
10006164254713607|CARL'S JR XXXXXXX QPS WESTLAKE VILL CA|Carl's Jr.|2012-06-18|debit|5.56
10005640637845451|CARL'S JR XXXXXXX  QPS   SACRAMENTO   CA|Carl's Jr.|2012-01-10|debit|2.79
10005640931128470|CARL'S JR #7050 Q57Q57   SAN JOSE     CA|Carl's Jr.|2013-03-13|debit|10.62
10005640896585414|CARL'S JR #7155    Q16   PORTLAND     OR|Carl's Jr.|2013-01-27|debit|2.0
100061641001281371|CARL'S JR #XXXXXXX MONTCLAIR CA|Carl's Jr.|2015-05-07|debit|15.23
100013722063284399|CARL'S JR #7127    Q06 TIGARD       OR|Carl's Jr.|2012-01-31|debit|10.07
10006164918040267|CARL'S JR XXXXXXX LONG BEACH CA|Carl's Jr.|2015-01-19|debit|5.11
100056401697044278|CARL'S JR XXXXXXX        CULVER CITY  CA|Carl's Jr.|2015-04-11|debit|5.35
10006164489823142|CARL'S JR XXXXXXX QPS COSTA MESA CA|Carl's Jr.|2013-06-17|debit|15.18
100013722797939690|CARL'S JR XXXXXXX      LOS ANGELES  CA|Carl's Jr.|2013-08-24|debit|8.48
100013722438254915|CARLS JR XXXXXXX|Carl's Jr.|2012-11-29|debit|7.77
100056401628559977|CARL'S JR XXXXXXX  QPS   CYPRESS      CA|Carl's Jr.|2015-02-10|debit|7.54
100056401021512615|CARL'S JR XXXXXXX  QPS   MOORPARK     CA|Carl's Jr.|2013-07-02|debit|9.55
10005640885448782|CARLS JR 7651            WASILLA      AK|Carl's Jr.|2013-01-11|debit|26.25
10006164992444532|CARL'S JR #7487 VAN NUYS CA|Carl's Jr.|2015-04-27|debit|41.04
10000004207192974|CARL'S JR. #7532   QWILLIAMS    7332        XXX-XXX-XXXX|Carl's Jr.|2013-07-25|debit|18.32
100013723041788832|CARL'S JR #7476 Q54    RIVERSIDE    CA|Carl's Jr.|2014-02-18|debit|7.55
10006164660223288|CARL'S JR 0896 COTTAGE GROVEOR|Carl's Jr.|2014-02-07|debit|8.38
100056401264533964|CARL'S JR XXXXXXX  QPS   LOS ANGELES  CA|Carl's Jr.|2014-03-18|debit|3.91
100056401699122658|CARL'S JR XXXXXXX  QPS   OGDEN        UT|Carl's Jr.|2015-04-13|debit|2.36
100013723804385428|CARL'S JR. #7627         GLENDALE     AZ|Carl's Jr.|2015-05-04|debit|1.65
100013723120329610|CARL'S JR XXXXXXX      LANCASTER    CA|Carl's Jr.|2014-04-11|debit|4.88
10005640666290054|CARL'S JR XXXXXXX  QPS   LOS ANGELES  CA|Carl's Jr.|2012-03-03|debit|7.82
100013722853528499|CARLS JR 7023|Carl's Jr.|2013-10-05|debit|7.58
100013723676903663|CARL'S JR. #0813         FLAGSTAFF    AZ|Carl's Jr.|2015-03-29|debit|9.62
100056401251087861|CARLS JR 7777            FOUNTAIN     CO|Carl's Jr.|2014-03-04|debit|3.24
10006164184241591|CARL'S JR #7360 Q28 PASADENA CA|Carl's Jr.|2012-04-24|debit|5.97
10005640666284344|CARL'S JR #7607    Q44   ALBUQUERQUE  NM|Carl's Jr.|2012-03-03|debit|6.24
10006164584989889|CARL'S JR XXXXXXX QPS TORRANCE CA|Carl's Jr.|2013-11-05|debit|10.88
10006164508141433|CARL'S JR XXXXXXX QPS CYPRESS CA|Carl's Jr.|2013-07-15|debit|6.04
100013723221992750|CARL'S JR XXXXXXX QPS GLENDALE CA XXXXX USA|Carl's Jr.|2014-06-24|debit|3.26
100013722510268279|CARL'S JR XXXXXXX|Carl's Jr.|2013-01-28|debit|7.44
10005640794483680|CARL'S JR #7572          MARICOPA     AZ|Carl's Jr.|2012-09-10|debit|2.93
10006164614351042|CARL'S JR 716 SAN BRUNO CA|Carl's Jr.|2013-12-05|debit|4.02
10006164814619732|CARL'S JR XXXXXXX QPS GARDEN GROVE CA|Carl's Jr.|2014-09-03|debit|3.55
10006164904576883|CARLS JR 0788 YUBA CITY CA|Carl's Jr.|2014-12-30|debit|5.69
100056401471008399|CARL'S JR XXXXXXX  QPS   HOUSTON      TX|Carl's Jr.|2014-09-27|debit|10.05
10006164430933481|CARL'S JR #7133 Q81 LAGUNA HILLS CA|Carl's Jr.|2013-03-20|debit|5.61
100056401435503973|CARLS JR 1804            YUBA CITY    CA|Carl's Jr.|2014-08-26|debit|9.77
100056401686785237|CARL'S JR #1837          YUMA         AZ|Carl's Jr.|2015-04-02|debit|8.05
100013723486448855|CARL'S JR #786|Carl's Jr.|2014-12-19|debit|7.33
100056401610918803|CARL'S JR #7365 0039     GLENDORA     CA|Carl's Jr.|2015-01-26|debit|3.82
10006164278274656|CARL'S JR XXXXXXX QPS COALINGA CA|Carl's Jr.|2012-07-23|debit|6.58
