row_id|at_merchantid|at_transactioncity|at_transactionstateprovince|at_transactionpostalcode1|at_transactionpostalcode2|at_transactioncountrycode|at_transactiondescription|at_transactiondescription2|at_mcccode
3862||||||||American Express |
3878||||||||NYS TAX & FINANC |
3889||||||||CITI CARD ONLINE |
3891||||||||ard ending in 6586|
3914||||||||WF HOME MTG      |
3975||||||||ard ending in 3932|
3997||||||||IRS              |
4018||||||||  CHK ...7108 transaction#: |
4042||||||||GREAT LAKES      |
4047||||||||GEICO INSURANCE       |
4094||||||||NSURANCE  1131898173      PP|
4098||||||||DISCOVER         |
4112||||||||WELLS FARGO CARD |
4139||||||||American Express |
4166||||||||ANSFER TO ACCOUNT00000063476|
4190||||||||U.S. BANK N.A.   |
4222||||||||VCE COMPANY LLC       |
4241||||||||ard ending in 6436|
4252||||||||BARCLAYCARD US   |
4253||||||||COUNTYOFRIVERSID |
4269||||||||ard ending in 7438|
4279||||||||IRS              |
4294||||||||ard ending in 9913|
4312||||||||American Express |
4316||||||||JPMORGAN CHASE   |
4327||||||||GREAT LAKES      |
4340||||||||STATE FARM RO 27 |
4341||||||||ard ending in 8871|
4349||||||||IRS              |
4358|||||||| MMA ...7595 transaction#: 4|
4368||||||||ard ending in 8364|
4371||||||||WF HOME MTG      |
4377||||||||ard ending in 1794|
4421||||||||CVR              |
4455||||||||HSBC CL-HMS      |
4467||||||||ard ending in 3746|
4469||||||||MORTGAGE SERV CT |
4481||||||||AMERICAN EXPRESS |
4499||||||||IRS              |
4514||||||||WF HOME MTG      |
4521||||||||LA CHOLLA SL     |
4524||||||||ard ending in 2464|
4530||||||||ENERBANK USA     |
4535||||||||CHASE            |
4596||||||||WELLS FARGO      |
4603||||||||EBRSO            |
4606||||||||CAPITAL ONE      |
4612||||||||American Express |
4627||||||||ard ending in 2040|
4664||||||||American Express |
4686||||||||  CHK ...1660 transaction#: |
4712||||||||ard ending in 2232|
4718||||||||CONCUR                |
4728||||||||WF HOME MTG      |
4744||||||||PSN*VILLAGES AT  |
4749||||||||AMERICAN EXPRESS |
4755||||||||OXFORD HEALTH 2  |
4780||||||||WF HOME MTG      |
4798||||||||ard ending in 8989|
4847||||||||Nationstar       |
4900||||||||JPMORGAN CHASE   |
4903||||||||SMALL BUSINESS   |
4914||||||||PAYMENTECH       |
4984||||||||DISCOVER         |
4994||||||||SATAXPYMT 225476520106774 CC|
5007||||||||IRS              |
5047||||||||Summers Crossing |
5071||||||||ard ending in 7585|
5103||||||||ard ending in 9486|
5131||||||||NannyChex        |
5135||||||||Nationstar       |
5145||||||||ACS Express Pay  |
5146||||||||WF HOME MTG      |
5201||||||||ard ending in 2592|
5216||||||||INTUIT PAYROLL S |
5224||||||||ard ending in 2800|
5235||||||||IRS              |
5244||||||||  MMA ...5950 transaction#: |
5281||||||||PACCAR LEASING        |
5299|||||||| 4970595528 To Jacquelyn Cat|
5321||||||||  CHK ...8565 transaction#: |
5327||||||||JPMORGAN CHASE   |
5328||||||||WalMart MC       |
5338||||||||CHASE            |
5344||||||||DIAZ FOODS       |
5349||||||||IRS              |
5353||||||||CHASE            |
5391||||||||American Express |
5394|||||||| MMA ...7935 transaction#: 4|
5416||||||||DISCOVER         |
5425||||||||MB FINANCIAL     |
5457||||||||Seterus, Inc.    |
5478||||||||HUNT A HOME - R  |
5500||||||||UNION SAVINGS    |
5504||||||||ard ending in 8782|
5508||||||||JPMORGAN CHASE   |
5514||||||||DISCOVER         |
5519||||||||IRS              |
5534||||||||PAYCHEX TPS      |
5536|||||||| 4970894056 To ALL STATE MOV|
5541||||||||Gap Visa         |
5567||||||||ard ending in 7947|
