"question"
"MCCHORD STARBUCKS  Q15     MCCHORD AFB    WA"
"CHECKCARD  1218 STARBUCKS CARD RELOAD                       XXX-XXX-XXXX WA XXXXXXXXXXXXXXXXXXXXXXX"
"CHECK CARD PURCHASE   XXXXX8325     STARBUCKS CORP00077321    WEXFORD     PA"
"PURCHASE STARBUCKS CA 800 782 7282 WA CARD0734"
"POS Debit - Visa Check Card 2058 - STARBUCKS #XXXXX A Albuquerque NMUS"
"POS Debit - Visa Check Card 0834 - STARBUCKS #XXXXX A ALEXANDRIA VA"
"POS Debit - Visa Check Card 1487 - T1C Starbucks FLL Fort LauderdaFLUS"
"PURCHASE AUTHORIZED ON 10/18 STARBUCKS CARD REL XXX-XXX-XXXX WA SXXXXXXXXXXXXXXX CARD 2157"
"POS Debit - Visa Check Card 0487 - NT Starbucks M St. Paul MNUS"
"CHECKCARD  0116 STARBUCKS #XXXXX LOS AN                     Los Angeles  CA XXXXXXXXXXXXXXXXXXXXXXX"
"CHECK CARD PURCHASE   XXXXX5231     STARBUCKS CORP00088708    SPRINGFIELD IL"
"PURCHASE STARBUCKS CA 800 782 7282 WA CARD4769"
"CHECKCARD  1224 STARBUCKS #XXXXX CHICAG                     Chicago      IL XXXXXXXXXXXXXXXXXXXXXXX"
"STARBUCKS #0998          Lexington    KY"
"CHKCARDSTARBUCKS #0338Portlan ORUS"
"STARBUCKS #1109          Lincoln      CA"
"CHECKCARD  1230 STARBUCKS CARD RELOAD                       XXX-XXX-XXXX WA XXXXXXXXXXXXXXXXXXXXXXX"
"STARBUCKS #XXXXX NEW YO New YorkNY 12/12"
"POS Debit - Visa Check Card 8161 - STARBUCKS #XXXXX S Seattle WAUS"
"VISA DDA PUR XXXXXX STARBUCKS XXXXX LOS ANG LOS ANGELES * CA"
"DEBIT PURCHASE Jul 08 08:01 1242 STARBUCKS CORP00112771 NEW YORK"
"POS DEBIT STARBUCKS  #XXXXX K   Kansas City MO"
"CHECKCARD  0805 STARBUCKS CARD RE                           XXX-XXX-XXXX WA XXXXXXXXXXXXXXXXXXXXXXX"
"CHECKCARD  0717 STARBUCKS #XXXXX AUSTIN                     Austin       TX XXXXXXXXXXXXXXXXXXXXXXX"
"POS Debit - Visa Check Card 7987 - STARBUCKS #09678 V VIRGINIA BEACVA"
"DEBIT PURCHASE Dec 26 16:33 8657 STARBUCKS CORP00075572 NEW YORK"
"T3 N STARBUCKS PHX"
"STARBUCKS CORP00034488     SEATTLE        WA"
"CHECK CARD PURCHASE   XXXXX4597     MGM GRND STARBUCKSCAS    LAS VEGAS   NV"
"CHECKCARD  1222 STARBUCKS #XXXXX KANSAS                     Kansas City  MO XXXXXXXXXXXXXXXXXXXXXXX"
"CHECKCARD  1218 STARBUCKS #XXXXX                            Dulles       VA XXXXXXXXXXXXXXXXXXXXXXX"
"CHECK CRD PURCHASE 03/25 STARBUCKS #07237 W Washington DC 482857XXXXXX1026 083084614153635 ?MCC=5814"
"ACH CREDIT      XXXXX7515                      Teavana Corp     Payroll"
"PURCHASE PS Starbucks Charlotte NC CARD7253"
