Merchant Name,Brand,Merchant Address,Merchant City,Merchant State,Detail Level,Fuel Type1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREEKWOOD CRSSING BQPS,BP OIL,7305 ST RT 70E,BRADENTON,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIANT OIL # 116    QPS,BP OIL,2790 E MANATEE AVE,BRADENTON,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN AND OUT BP      QPS,BP OIL,2801 26TH ST W,BRADENTON,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUICK MART BP      QPS,BP OIL,2927 CORTEZ RD WEST,BRADENTON,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMOSET BP         QPS,BP OIL,3101 15TH ST EAST,BRADENTON,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR 64 BP           QPS,BP OIL,5530 E STATE RD 64,BRADENTON,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR 70 BP           QPS,BP OIL,4720 53RD AVE E,BRADENTON,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITFIELD BP       QPS,BP OIL,6812 14TH ST WEST,BRADENTON,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITHIA CONVENIENCE QPS,BP OIL,1005 LITHIA,BRANDON,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARSONS BP         QPS,BP OIL,1302 N PARSONS AVE,BRANDON,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S & S FOOD STORE #3QPS,BP OIL,602 HWY 27 NW,BRANFORD,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENNY''S BP         QPS,BP OIL,10695 NW ST RD 20,BRISTOL,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROAD STREET BP    QPS,BP OIL,7410 BROAD STREET,BROOKSVILLE,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMP-A-WYLE        QPS,BP OIL,9202 COMMERICAL HWY,BROOKSVILLE,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY EXPRESS BP QPS,BP OIL,10455 N BROAD ST,BROOKSVILLE,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERSTATE 100     QPS,BP OIL,4600 EAST HWY 100,BUNNELL,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANGAROO EXP #1233 QPS,BP OIL,500 E MOODY STREET,BUNNELL,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANTATION  BP     QPS,BP OIL,2245 OLD DIXIE HWY,BUNNELL,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISLAND FOOD STR #12QPS,BP OIL,400 N KINGS RD,CALLAHAN,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPBELLTON BP     QPS,BP OIL,5256 US HWY 231,CAMPBELLTON,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
