Merchant Name,Brand,Merchant Address,Merchant City,Merchant State,Detail Level,Fuel Type1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIRCLE K 2703251   QPS,BP OIL,1025 GOODMAN RD,HORN LAKE,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONNIES DELI&GRCRY QPS,BP OIL,6005 TULANE RD,HORN LAKE,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRESHAM SVC STA #1 QPS,BP OIL,100 FRONT AVE,INDIANOLA,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONE STOP BPAMOCO   QPS,BP OIL,1005 W QUITMAN ST,IUKA,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & H FOOD MART    QPS,BP OIL,3290 W NORTHSIDE DR,JACKSON,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADI FOOD MART #2   QPS,BP OIL,380 E. MCDOWELL RD,JACKSON,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP CAR CARE        QPS,BP OIL,352 E WOODROW WILSON,JACKSON,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP SHOP HANGING MOSQPS,BP OIL,6262 HANGING MOSS RD,JACKSON,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP SHOP TERRY RD   QPS,BP OIL,3387 TERRY ROAD,JACKSON,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP SHOP 80 & ELLIS QPS,BP OIL,2411 HWY 80,JACKSON,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPRESSWAY AMOCO   QPS,BP OIL,418 SAVANNAH AVE,JACKSON,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
