Accuracy,Class,True Positive,False Positive,False Negative,True Negative,Precision,Recall,Specificity,F Measure
,Sprout's Farmers Market,977,2,0,1004300,0.9979570990806946,1.0,0.9999980085671442,0.9989775051124744
,Stamps.com,1056,11,0,1004212,0.9896907216494846,1.0,0.999989046257654,0.9948186528497409
,Staples,1054,9,1,1004215,0.9915333960489181,0.9990521327014218,0.9999910378560959,0.9952785646836638
,Star Market,986,13,0,1004280,0.986986986986987,1.0,0.9999870555704361,0.9934508816120906
,Starbucks,1351,22,2,1003904,0.9839766933721777,0.9985218033998522,0.9999780860342297,0.9911958914159943
,State Farm Insurance,1019,6,0,1004254,0.9941463414634146,1.0,0.9999940254515763,0.99706457925636
,Stater Bros.,996,0,0,1004283,1.0,1.0,1.0,1.0
,Steak 'n Shake,999,4,0,1004276,0.996011964107677,1.0,0.9999960170470387,0.9980019980019981
,Steam,1278,18,0,1003983,0.9861111111111112,1.0,0.9999820717310043,0.993006993006993
,Stein Mart,995,0,0,1004284,1.0,1.0,1.0,1.0
,Stew Leonard's,849,17,0,1004413,0.9803695150115473,1.0,0.9999830749778481,0.9900874635568514
,Stewart's Shops,937,8,1,1004333,0.9915343915343915,0.9989339019189766,0.9999920345778973,0.9952203929899096
,Stitch Fix,999,1,0,1004279,0.999,1.0,0.9999990042617597,0.9994997498749374
,Stop & Shop,1774,28,0,1003477,0.9844617092119867,1.0,0.9999720977972207,0.9921700223713646
,Stubhub,1046,0,0,1004233,1.0,1.0,1.0,1.0
,Subway,1252,9,9,1004009,0.992862807295797,0.992862807295797,0.9999910360172826,0.992862807295797
,Sunglass Hut,972,4,0,1004303,0.9959016393442623,1.0,0.9999960171541172,0.997946611909651
,Sunoco,1057,0,0,1004222,1.0,1.0,1.0,1.0
,SunPass,1034,1,1,1004243,0.9990338164251208,0.9990338164251208,0.9999990042260646,0.9990338164251208
,Sunset Foods,1017,0,0,1004262,1.0,1.0,1.0,1.0
,Super 8,1008,8,15,1004248,0.9921259842519685,0.9853372434017595,0.9999920339037058,0.988719960765081
,Supercuts,988,1,0,1004290,0.9989888776541962,1.0,0.999999004272666,0.9994941831057157
,Sur La Table,1010,0,0,1004269,1.0,1.0,1.0,1.0
,Sweet Tomatoes,982,0,0,1004297,1.0,1.0,1.0,1.0
,Sweetbay Supermarket,1011,1,0,1004267,0.9990118577075099,1.0,0.9999990042498615,0.9995056846267919
,T.J.Maxx,1195,0,0,1004084,1.0,1.0,1.0,1.0
,Taco Bell,1008,5,4,1004262,0.9950641658440277,0.9960474308300395,0.9999950212443504,0.9955555555555556
,Taco Bueno,1014,0,0,1004265,1.0,1.0,1.0,1.0
,Taco Cabana,982,0,0,1004297,1.0,1.0,1.0,1.0
