Accuracy,Class,True Positive,False Positive,False Negative,True Negative,Precision,Recall,Specificity,F Measure
,Culver's,1070,1,0,875929,0.9990662931839402,1.0,0.9999988583562613,0.9995329285380663
,Cumberland Farms,1641,55,0,875304,0.9675707547169812,1.0,0.9999371686359539,0.9835181300569374
,CVS Caremark,995,4,0,876001,0.995995995995996,1.0,0.9999954338160171,0.9979939819458374
,CVS Pharmacy,1520,13,1,875466,0.9915198956294846,0.9993425378040762,0.9999851509859174,0.9954158480681073
,Dairy Queen,1075,11,0,875914,0.9898710865561694,1.0,0.9999874418471901,0.994909763998149
,Dave & Buster's,1117,2,0,875881,0.998212689901698,1.0,0.9999977165900011,0.9991055456171735
,David's Bridal,303,21,0,876676,0.9351851851851852,1.0,0.9999760464561872,0.9665071770334929
,Del Taco,1046,3,0,875951,0.9971401334604385,1.0,0.9999965751626227,0.9985680190930787
,Delta Air Lines,1052,6,0,875942,0.994328922495274,1.0,0.999993150278327,0.9971563981042654
,Delta Sonic,172,6,0,876822,0.9662921348314607,1.0,0.9999931571528281,0.9828571428571428
,Denny's,1063,1,0,875936,0.9990601503759399,1.0,0.9999988583653847,0.9995298542548191
,Diamond Parking,387,0,0,876613,1.0,1.0,1.0,1.0
,Diamond Shamrock,779,5,0,876216,0.9936224489795918,1.0,0.9999942936770518,0.9968010236724247
,Diapers.com,366,0,0,876634,1.0,1.0,1.0,1.0
,Dickey's Barbecue Pit,1071,0,0,875929,1.0,1.0,1.0,1.0
,Dick's Sporting Goods,1106,20,0,875874,0.9822380106571936,1.0,0.999977166186776,0.9910394265232976
,Dierbergs Markets,1013,0,0,875987,1.0,1.0,1.0,1.0
,Dillard's,1026,0,0,875974,1.0,1.0,1.0,1.0
,Dillons,1030,7,0,875963,0.9932497589199615,1.0,0.9999920088587508,0.996613449443638
,DirecTV,1140,8,0,875852,0.9930313588850174,1.0,0.9999908661201562,0.9965034965034965
,Dish Network,1205,0,0,875795,1.0,1.0,1.0,1.0
,Disney Store,1013,27,0,875960,0.9740384615384615,1.0,0.9999691776247821,0.9868485143692158
,DMV,1074,12,0,875914,0.988950276243094,1.0,0.9999863002125751,0.9944444444444445
,Dollar General Store,1367,69,0,875564,0.9519498607242339,1.0,0.9999211998634131,0.9753835176596503
,Dollar Tree,1302,19,0,875679,0.9856169568508706,1.0,0.9999783030222748,0.9927563858177659
,Dominick's,954,5,0,876041,0.9947862356621481,1.0,0.9999942925371499,0.9973863042341872
,Dominion Virginia Power,1034,7,0,875959,0.9932756964457252,1.0,0.9999920088222602,0.9966265060240964
,Domino's Pizza,1095,6,0,875899,0.9945504087193461,1.0,0.9999931499420599,0.9972677595628415
,Dressbarn,199,17,0,876784,0.9212962962962963,1.0,0.9999806113359816,0.9590361445783132
,Drugstore.com,410,3,1,876586,0.9927360774818402,0.9975669099756691,0.9999965776435707,0.9951456310679612
,DSW,938,5,0,876057,0.9946977730646872,1.0,0.9999942926413884,0.9973418394471025
,DTE Energy,998,0,0,876002,1.0,1.0,1.0,1.0
,Duane Reade,987,1,0,876012,0.9989878542510121,1.0,0.9999988584644292,0.9994936708860759
,Duke Energy,1039,3,0,875958,0.9971209213051824,1.0,0.9999965751899913,0.9985583853916387
,Dunkin' Donuts,1327,7,38,875628,0.9947526236881559,0.9721611721611721,0.999992005801504,0.9833271582067431
,Dunkin' Donuts / Baskin-Robbins,1165,38,7,875790,0.9684123025768911,0.9940273037542662,0.9999566124855566,0.9810526315789474
,Dutch Bros. Coffee,1010,1,0,875989,0.9990108803165183,1.0,0.999998858434457,0.9995051954477981
,Earth Fare,952,0,0,876048,1.0,1.0,1.0,1.0
,EarthLink,171,0,0,876829,1.0,1.0,1.0,1.0
,eBay Inc.,1309,14,3,875674,0.9894179894179894,0.9977134146341463,0.9999840125706873,0.9935483870967742
,ECHST.net,390,0,0,876610,1.0,1.0,1.0,1.0
,Eddie Bauer,374,5,0,876621,0.9868073878627969,1.0,0.9999942963133651,0.9933598937583002
,Eddie V's,675,2,0,876323,0.9970457902511078,1.0,0.9999977177417054,0.9985207100591716
,Edible Arrangements,407,36,0,876557,0.9187358916478555,1.0,0.999958931910248,0.9576470588235294
,Edward Jones,1036,2,0,875962,0.9980732177263969,1.0,0.9999977168011471,0.9990356798457087
,Einstein Bros Bagels,1028,12,0,875960,0.9884615384615385,1.0,0.9999863009319933,0.9941972920696325
,El Pollo Loco,1000,0,0,876000,1.0,1.0,1.0,1.0
,Enmark,644,11,0,876345,0.983206106870229,1.0,0.999987448023406,0.99153194765204
,Enterprise Rent-A-Car,1047,4,0,875949,0.9961941008563273,1.0,0.9999954335449505,0.998093422306959
,Epoch Payment Solutions,1015,6,0,875979,0.9941234084231146,1.0,0.9999931505676467,0.9970530451866405
,Equifax,1004,1,0,875995,0.9990049751243781,1.0,0.999998858442276,0.9995022399203584
,ESI Mail Pharmacy Service,432,0,0,876568,1.0,1.0,1.0,1.0
,Etsy Inc.,1122,2,0,875876,0.998220640569395,1.0,0.9999977165769662,0.9991095280498664
,Eurest Dining,1321,30,0,875649,0.9777942264988897,1.0,0.9999657408707986,0.9887724550898204
,European Wax Center,261,7,0,876732,0.9738805970149254,1.0,0.9999920158678922,0.9867674858223062
,Expedia,374,2,0,876624,0.9946808510638298,1.0,0.999997718525346,0.9973333333333333
,Experian,1144,0,0,875856,1.0,1.0,1.0,1.0
,Exxon Mobil,1296,9,0,875695,0.993103448275862,1.0,0.9999897225546531,0.9965397923875432
,E-Z-GO,783,1,0,876216,0.9987244897959183,1.0,0.9999988587302004,0.9993618379068284
,E-ZPass,1061,2,1,875936,0.9981185324553151,0.9990583804143126,0.9999977167333761,0.9985882352941177
,f.y.e.,399,22,0,876579,0.9477434679334917,1.0,0.9999749030630811,0.973170731707317
,Facebook,1441,80,0,875479,0.9474030243261012,1.0,0.9999086298010756,0.9729912221471979
,Fairway Market,1123,28,0,875849,0.9756733275412685,1.0,0.9999680320410286,0.9876868953386104
,Family Christian Stores,578,6,0,876416,0.9897260273972602,1.0,0.9999931539828987,0.9948364888123925
,Family Dollar,1033,3,0,875964,0.997104247104247,1.0,0.9999965752134499,0.9985500241662638
,Famous Dave's,1021,1,0,875978,0.9990215264187867,1.0,0.9999988584201219,0.9995105237395986
,Famous Footwear,1009,0,0,875991,1.0,1.0,1.0,1.0
,Fandango,969,0,2,876029,1.0,0.9979402677651905,1.0,0.9989690721649485
,Fantastic Sams,1023,1,0,875976,0.9990234375,1.0,0.9999988584175156,0.9995114802149487
,Farm Fresh Food & Pharmacy,976,3,0,876021,0.9969356486210419,1.0,0.9999965754362894,0.99846547314578
,Farmers Insurance,878,35,0,876087,0.9616648411829135,1.0,0.9999600512257425,0.9804578447794529
,Fas Mart,1040,6,0,875954,0.994263862332696,1.0,0.9999931503721631,0.9971236816874401
,FasTrak,127,3,0,876870,0.9769230769230769,1.0,0.9999965787519971,0.9883268482490272
,Fastrip Food Stores,187,9,0,876804,0.9540816326530612,1.0,0.9999897355536471,0.9765013054830287
,Fazoli's,441,4,0,876555,0.9910112359550561,1.0,0.9999954367019219,0.9954853273137697
,Fedex,1048,5,0,875947,0.9952516619183286,1.0,0.9999942919246717,0.9976201808662541
,Fiesta Mart,1095,5,0,875900,0.9954545454545455,1.0,0.9999942916183833,0.9977220956719818
,Fine Fare,1012,2,0,875986,0.9980276134122288,1.0,0.9999977168637013,0.9990128331688055
,Fingerhut,1014,2,0,875984,0.9980314960629921,1.0,0.9999977168584886,0.9990147783251232
,Finish Line,959,4,0,876037,0.995846313603323,1.0,0.9999954340036596,0.9979188345473464
,Firehouse Subs,985,5,0,876010,0.9949494949494949,1.0,0.9999942923351769,0.9974683544303797
,Firestone,368,2,0,876630,0.9945945945945946,1.0,0.9999977185409613,0.997289972899729
,First Watch,385,2,0,876613,0.9948320413436692,1.0,0.9999977184967175,0.9974093264248705
,FirstEnergy,1056,2,0,875942,0.998109640831758,1.0,0.9999977167490159,0.9990539262062441
,Five Below,994,0,0,876006,1.0,1.0,1.0,1.0
,Five Guys,1089,4,0,875907,0.9963403476669717,1.0,0.9999954333259886,0.998166819431714
,Flash Foods,1130,3,0,875867,0.9973521624007061,1.0,0.9999965748341649,0.9986743261157756
,Fleming's Prime Steakhouse And Vine Bar,1471,7,30,875492,0.9952638700947226,0.9800133244503664,0.9999920045596854,0.9875797247398455
,Florida Power & Light,971,0,0,876029,1.0,1.0,1.0,1.0
,Food 4 Less,975,2,0,876023,0.9979529170931423,1.0,0.9999977169601324,0.9989754098360656
,Food City,1047,9,0,875944,0.9914772727272727,1.0,0.9999897254761385,0.9957203994293866
,Food Lion,1114,3,0,875883,0.9973142345568488,1.0,0.9999965748967331,0.9986553115194979
,Food Maxx,1025,0,1,875974,1.0,0.9990253411306043,1.0,0.999512432959532
,Food Town,974,34,0,875992,0.9662698412698413,1.0,0.9999611883665553,0.98284561049445
,FoodLand,813,27,0,876160,0.9678571428571429,1.0,0.9999691846603522,0.983666061705989
,Foot Locker,920,5,0,876075,0.9945945945945946,1.0,0.9999942927586521,0.997289972899729
,Ford Motor Company,1062,1,0,875937,0.9990592662276576,1.0,0.999998858366688,0.9995294117647059
,Forever 21,1013,3,0,875984,0.9970472440944882,1.0,0.9999965752916424,0.9985214391325776
,Fossil Group,150,5,0,876845,0.967741935483871,1.0,0.9999942977704283,0.9836065573770492
,Francesca's,241,13,0,876746,0.9488188976377953,1.0,0.999985172664324,0.9737373737373737
,Fred Meyer,1144,1,3,875852,0.9991266375545852,0.997384481255449,0.9999988582558945,0.9982547993019197
,Fred Meyer Fuel,658,19,0,876323,0.9719350073855244,1.0,0.9999783189667961,0.9857677902621723
,Freddy's Frozen Custard & Steakburgers,1045,0,0,875955,1.0,1.0,1.0,1.0
,Freebirds World Burrito,982,4,0,876014,0.9959432048681541,1.0,0.9999954338837787,0.9979674796747968
,Fresh & Easy,1107,4,0,875889,0.9963996399639964,1.0,0.9999954332321414,0.9981965734896303
,FreshDirect,1012,0,0,875988,1.0,1.0,1.0,1.0
,Friendly's,133,10,0,876857,0.9300699300699301,1.0,0.9999885957619571,0.963768115942029
,Fry's,314,1,0,876685,0.9968253968253968,1.0,0.9999988593407446,0.9984101748807631
,Fry's Electronics,1033,2,0,875965,0.9980676328502416,1.0,0.9999977168089665,0.9990328820116054
,Fry's Food and Drug,1714,4,3,875279,0.9976717112922002,0.9982527664531159,0.9999954300494811,0.997962154294032
,FTD Companies Inc.,979,15,0,876006,0.9849094567404426,1.0,0.9999828771228086,0.9923973644196654
,Fuddruckers,964,0,0,876036,1.0,1.0,1.0,1.0
,Fuzzy's Taco Shop,401,0,0,876599,1.0,1.0,1.0,1.0
,GameFly,487,1,0,876512,0.9979508196721312,1.0,0.9999988591156093,0.9989743589743589
,Gamestop,1071,2,0,875927,0.9981360671015843,1.0,0.999997716709916,0.9990671641791045
,Gander Mountain,517,0,0,876483,1.0,1.0,1.0,1.0
,Gap Inc.,2645,48,1,874306,0.9821760118826588,0.9996220710506425,0.9999451023269751,0.9908222513579322
,Gas N' Go,456,23,0,876521,0.9519832985386222,1.0,0.9999737605870327,0.9754010695187166
,GE Capital,1778,39,0,875183,0.9785360484314805,1.0,0.9999554398769683,0.9891515994436718
,Geico,1250,6,1,875743,0.9952229299363057,0.9992006394884093,0.999993148721837,0.997207818109294
,Genghis Grill,570,25,0,876405,0.957983193277311,1.0,0.9999714751891194,0.9785407725321889
,Georgia Power,1038,0,0,875962,1.0,1.0,1.0,1.0
,Gerber Life Insurance Company,1001,1,0,875998,0.999001996007984,1.0,0.9999988584461854,0.999500748876685
,GetGo,991,1,0,876008,0.998991935483871,1.0,0.9999988584592168,0.9994957135653051
,Giant Eagle,1409,33,4,875554,0.9771151178918169,0.997169143665959,0.9999623109982217,0.9870402802101577
,Giant Food,2022,81,1,874896,0.9614835948644793,0.9995056846267919,0.9999074261380585,0.9801260300533204
,Giant Oil,351,5,0,876644,0.9859550561797753,1.0,0.9999942964630085,0.992927864214993
,Gilt Groupe,107,1,0,876892,0.9907407407407407,1.0,0.9999988596100094,0.9953488372093023
,GNC,953,1,0,876046,0.9989517819706499,1.0,0.9999988585087329,0.9994756161510225
,GoDaddy,985,2,0,876013,0.9979736575481256,1.0,0.9999977169340708,0.9989858012170385
,Gogo Inflight Internet,346,2,0,876652,0.9942528735632183,1.0,0.9999977185982155,0.9971181556195965
,Golden Corral,1039,0,0,875961,1.0,1.0,1.0,1.0
,Gold's Gym,1008,10,0,875982,0.9901768172888016,1.0,0.9999885843706335,0.9950641658440277
,Goodwill,991,12,0,875997,0.9880358923230309,1.0,0.999986301510601,0.9939819458375125
,Google,1641,51,0,875308,0.9698581560283688,1.0,0.9999417381897028,0.9846984698469847
,Google Midas,974,16,3,876007,0.9838383838383838,0.9969293756397134,0.9999817356393611,0.9903406202338586
,Great Clips,1022,1,0,875977,0.9990224828934506,1.0,0.9999988584188187,0.9995110024449878
,Greyhound,225,16,0,876759,0.9336099585062241,1.0,0.9999817513044966,0.9656652360515021
,Gristede's,1032,0,0,875968,1.0,1.0,1.0,1.0
