Accuracy,Class,True Positive,False Positive,False Negative,True Negative,Precision,Recall,Specificity,F Measure
0.9733780663151932,Bank Adjustment - Adjustment,190,6,4,22751,0.9693877551020408,0.979381443298969,0.9997363448609219,0.9743589743589743
,Charges & Fees - Annual Fee,85,2,1,22863,0.9770114942528736,0.9883720930232558,0.9999125300677892,0.9826589595375722
,Charges & Fees - Convenience Fee,137,2,1,22811,0.9856115107913669,0.9927536231884058,0.9999123306886425,0.9891696750902527
,Charges & Fees - Debit Card Fee,74,1,0,22876,0.9866666666666667,1.0,0.9999562879748218,0.9932885906040269
,Charges & Fees - NSF Fees,47,0,1,22903,1.0,0.9791666666666666,1.0,0.9894736842105264
,Charges & Fees - Other Charges & Fees,203,6,14,22728,0.9712918660287081,0.9354838709677419,0.9997360781208762,0.9530516431924883
,Charges & Fees - Overdraft Charge,156,3,3,22789,0.9811320754716981,0.9811320754716981,0.9998683748683749,0.9811320754716981
,Charges & Fees - Returned Check Charge,47,0,3,22901,1.0,0.94,1.0,0.9690721649484536
,Charges & Fees - Service Charge,356,4,2,22589,0.9888888888888889,0.994413407821229,0.9998229540123047,0.9916434540389972
,Charges & Fees - Stop Payment Charge,65,3,4,22879,0.9558823529411765,0.9420289855072463,0.99986889257932,0.9489051094890512
,Other Withdrawals - Debit,54,1,11,22885,0.9818181818181818,0.8307692307692308,0.9999563051647296,0.9
,Payment - Auto Loan,78,8,8,22857,0.9069767441860465,0.9069767441860465,0.9996501202711567,0.9069767441860465
,Payment - Child Support,61,0,2,22888,1.0,0.9682539682539683,1.0,0.9838709677419354
,Payment - Credit Card Payment,998,25,29,21899,0.9755620723362659,0.9717624148003895,0.9988596971355592,0.9736585365853657
,Payment - Home Loan / Mortgage,267,2,7,22675,0.9925650557620818,0.9744525547445255,0.9999118049124663,0.9834254143646409
,Payment - Insurance Payment,388,6,29,22528,0.9847715736040609,0.9304556354916067,0.9997337356882933,0.9568434032059185
,Payment - Loan,234,2,10,22705,0.9915254237288136,0.9590163934426229,0.999911921433919,0.9749999999999999
,Payment - Payment,625,180,199,21947,0.7763975155279503,0.758495145631068,0.9918651421340444,0.7673419275629221
,Payment - Payment by Check,1069,4,14,21864,0.9962721342031687,0.987072945521699,0.9998170843241265,0.9916512059369202
,Payment - Personal Loan,76,3,0,22872,0.9620253164556962,1.0,0.9998688524590164,0.9806451612903226
,Payment - Recurring / Subscription Payment,936,8,41,21966,0.9915254237288136,0.9580348004094166,0.9996359333758078,0.9744924518479958
,Payment - Student Loan,116,5,3,22827,0.9586776859504132,0.9747899159663865,0.999781009110021,0.9666666666666667
,Payment - Tax Payment,183,8,11,22749,0.9581151832460733,0.9432989690721649,0.9996484598145625,0.9506493506493505
,Payment - Utilities Payment,208,17,29,22697,0.9244444444444444,0.8776371308016878,0.9992515629127411,0.9004329004329005
,Purchase - Online Purchase,555,9,20,22367,0.9840425531914894,0.9652173913043478,0.9995977833392921,0.974539069359087
,Purchase - Purchase,11892,250,96,10713,0.9794103113160929,0.991991991991992,0.9771960229864088,0.9856610029009532
,Transfer - Overdraft Protection,206,2,3,22740,0.9903846153846154,0.9856459330143541,0.9999120569870724,0.988009592326139
,Transfer - Transfer,2249,31,49,20622,0.9864035087719298,0.9786771105308965,0.9984990074081247,0.982525120139799
,Withdrawal - ATM / Cash Withdrawal,785,23,17,22126,0.9715346534653465,0.9788029925187033,0.9989615784008308,0.9751552795031055
