Accuracy,Class,True Positive,False Positive,False Negative,True Negative,Precision,Recall,Specificity,F Measure
0.9871294851794071,Charges & Fees - Finance Charge,149,1,1,2413,0.9933333333333333,0.9933333333333333,0.9995857497928748,0.9933333333333333
,Deposits & Credits - Rewards,73,1,4,2486,0.9864864864864865,0.948051948051948,0.9995979091274628,0.9668874172185431
,Other Deposits - Credit,43,7,9,2505,0.86,0.8269230769230769,0.9972133757961783,0.8431372549019608
,Payment - Credit Card Payment,1213,1,3,1347,0.999176276771005,0.9975328947368421,0.9992581602373887,0.9983539094650206
,Refund - Service Charge/Fee Refund,166,0,4,2394,1.0,0.9764705882352941,1.0,0.988095238095238
,Refund - Refund,568,23,6,1967,0.961082910321489,0.9895470383275261,0.9884422110552764,0.975107296137339
,Transfer - Balance Transfer,61,0,1,2502,1.0,0.9838709677419355,1.0,0.991869918699187
,Transfer - Transfer,258,0,5,2301,1.0,0.9809885931558935,1.0,0.9904030710172744
