OLD NAVY USA 06/02 #000006025 PURCHASE OLD NAVY USA SAN JOSE CA	5526941
OLD NAVY USA 08/03 #000007006 PURCHASE OLD NAVY USA SAN JOSE CA	5526941
OLD NAVY USA 10/17 #000006617 PURCHASE OLD NAVY USA SAN JOSE CA	5526941
CHECKCARD 0804 GARY DANKO SAN FRANCISCOCA 24224433218101045757934	5553073
CHECKCARD 1219 ROUND TABLE PI00003228 SAN CARLOS CA 24164073354074240175527	11527759
CHECKCARD 1219 ROUND TABLE PI00003228 SAN CARLOS CA 24164073354074240175568	11527759
CHECKCARD 0810 SUBWAY 00067413 SUNNYVALE CA 24164073223255230084618	68001955
CHECKCARD 0325 SUSHI CLUB SUNNYVALE CA 24460083085980001903830	13016285
CHECKCARD 0612 SUSHI CLUB SUNNYVALE CA 24460083164980001903891	13016285
CHECKCARD 1002 SUSHI CLUB SUNNYVALE CA 24765183276980001415552	13016285
CHECKCARD 1118 KATANA SUSHI & SAKE SUNNYVALE CA 24707803323980162402222	13016754
CHECKCARD 0420 THAI PEPPER CUISINE LLC SUNNYVALE CA 24431063110286857500028	13283591
CHECKCARD 0524 THAI PEPPER CUISINE LLC SUNNYVALE CA 24431063145286857001356	13283591
CHECKCARD 0821 THAI PEPPER CUISINE LLC SUNNYVALE CA 24431063234286857700983	13283591
CHECKCARD 0924 THAI PEPPER CUISINE LLC SUNNYVALE CA 24431063268286857100670	13283591
CHECKCARD 1005 THAI PEPPER CUISINE LLC SUNNYVALE CA 24431063279286857201012	13283591
CHECKCARD 1201 THAI PEPPER CUISINE LLC SUNNYVALE CA 24431063336286857800699	13283591
CHECKCARD 0403 TOKYO STAR MANGO BAY REDWOOD CITY CA...	13714264
CHECKCARD 0423 ST JOHNS BAR & GRILL SUNNYVALE CA 24013393113001431238118	16717922
CHECKCARD 1017 ST JOHNS BAR & GRILL SUNNYVALE CA 24013393290001066162760	16717922
CHECKCARD 1202 MEL'S DRIVE-IN #2 SAN FRANCISCOCA 24492153337286434101508	17038787
CHECKCARD 0830 EL CAMINO MONGOLIAN BBQ SANTA CLARA CA 24122583243980013731367	17359127
MACY'S 34 08/02 #000110826 PURCHASE 200 W WASHINGTON SUNNYVALE CA	17380299
CHECKCARD 0224 MURPHY'S LAW SUNNYVALE CA 24431063055207794301178	40410033
CHECKCARD 0123 STUDIO 5 HAIR SALON SUNNYVALE CA 24122473024900019300107	40411748
CHECKCARD 0227 STUDIO 5 HAIR SALON SUNNYVALE CA 24122473059900012100049	40411748
CHECKCARD 1203 PIZZA MY HEART PALO ALTO CA 24013393338000199654879	41158676
CHECKCARD 0211 IHOP 1719 BELMONT CA 24692163043000992741908	41815250
CHECKCARD 0321 IHOP #1719 BELMONT CA 24431063081207288600224	41815250
CHECKCARD 0812 IHOP #1719 BELMONT CA 24431063225207288600353	41815250
CHECKCARD 1216 IHOP #1719 BELMONT CA 24431063351207288600342	41815250
CHECKCARD 0903 WHISPERS CAFE & CREPER BELMONT CA 24071053247158151881416	41815258
CHECKCARD 0527 MILLBRAE MARKET & GASOL MILLBRAE CA 24765793148980019478503	114324165
CHECKCARD 0114 76 10041762 SUNNYVALE CA 24015173014000811868381	150889969
CHECKCARD 0322 76 10041762 SUNNYVALE CA 24015173081001377257827	150889969
CHECKCARD 0620 76 10041762 SUNNYVALE CA 24015173171001274272102	150889969
CHECKCARD 1107 76 10041762 SUNNYVALE CA 24015173311000436193132	150889969
CHECKCARD 0830 RABBIT'S FOOT MEADERY SUNNYVALE CA 24506013243980123666572	150890003
CHECKCARD 1231 ESPETUS CHURRASCARIA SAN MATEO CA 24431063001207588600061	154973213
CHECKCARD 0918 HOBEE'S #4 BELMONT CA 24431053261207188500345	159009535
CHECKCARD 0223 AMC CUPERTINO 01004241 CUPERTINO CA 24164073055931431213254	685301404
CHECKCARD 0803 AMC CUPERTINO 01004241 CUPERTINO CA 24164073216931401454033	685301404
CHECKCARD 0803 AMC CUPERTINO 01004241 CUPERTINO CA 24164073216931401454041	685301404
CHECKCARD 1210 AMC CUPERTINO SQ #0424 CUPERTINO CA 24610433345072000134112	685301404
CHECKCARD 1218 AMC CUPERTINO SQ #0424 CUPERTINO CA 24610433353072000374741	685301404
CHECKCARD 1114 JACK'S PRIME SAN MATEO CA 24224433320105009474928	696142020
CHECKCARD 0524 GODFATHERS BURGER LOU BELMONT CA 24692163145000152820721	697723246
CHECKCARD 0307 DA KINE ISLAND GRILL SUNNYVALE CA 24492153066401437000030	702283497
CHECKCARD 0324 DA KINE ISLAND GRILL SUNNYVALE CA 24492153083401438000129	702283497
CHECKCARD 1017 SUSHI BOAT WESTGATE SAN JOSE CA 24122583291980012711155	703891777
CHECKCARD 0823 TGI FRIDAY'S CUPERTINO CUPERTINO CA 24431053236207888700783	704311496
CHECKCARD 0813 TATAMI BUFFET CUPERTINO CA 24431063226207602400083	708987453
CHECKCARD 1009 TATAMI BUFFET CUPERTINO CA 24431063283207602800381	708987453
CHECKCARD 0803 EL ADOBE TAQUERIA SUNNYVALE CA 24493983216286626600486	710792809
CHECKCARD 0914 I SUSHI CUUPERTINO CA 24431063257200617600559	712154847
CHECKCARD 0126 ORIGINAL GRAVITY PUBLIC SAN JOSE CA 24690293027080080270199	715428711
CHECKCARD 0126 ORIGINAL GRAVITY PUBLIC SAN JOSE CA 24690293027080080270199	715428711
CHECKCARD 0827 FOG HARBOR FISH HOUSE SAN FRANCISCOCA 24071053240158141237098	888548287
