Word,FREQ
"Bar",1
"Barn",1
"Bell",1
"Bestway",1
"BESTWAY",1
"Bidz",1
"BIDZ",1
"Bistro",1
"Bloomingdale",1
"BMW",1
"Bojangles",1
"Bowlin",1
"Bowling",1
"Branding",1
"Brazil",1
"Brookshire",1
"Buckle",1
"Buckles",1
"Buffet",1
"Builders",1
"c",1
"Cabana",1
"Cabaret",1
"Cable",1
"Cablevision",1
"Cache",1
"Caesars",1
"Canada",1
"Canteen",1
"Car",1
"Caremark",1
"Carl",1
"Casual",1
"CASUAL",1
"Centers",1
"Chain",1
"Chang",1
"CHANG",1
"Charter",1
"Chevron",1
"Chili",1
"Cinemark",1
"Cinemas",1
"Circle",1
"Circuit",1
"CircuitCity",1
"CITGO",1
"Citi",1
"CitiTrends",1
"CKE",1
"Clips",1
"Clothiers",1
"Clothing",1
"Coach",1
"Coastal",1
"Coca",1
"Coconut",1
"Cola",1
"COLD",1
"Collections",1
"Collective",1
"Colors",1
"Comcast",1
"Commerce",1
"Commissary",1
"Commonwealth",1
"Con",1
"Conn",1
"Connection",1
"Convertibles",1
"Country",1
"Craft",1
"Crafts",1
"Dairy",1
"DECA",1
"Deckers",1
"Defense",1
"Del",1
"dELiA",1
"DFAS",1
"DGSE",1
"Diamond",1
"Diapers",1
"Dicks",1
"DineWise",1
"DIRECTV",1
"Dish",1
"DMV",1
"Dominick",1
"Dominion",1
"Dot",1
"Doughnut",1
"Doughnuts",1
"Dress",1
"dressbarn",1
"Drugs",1
"Drugstore",1
"Duanereade",1
"Duckwall",1
"Easy",1
"Einstein",1
"Einsteines",1
"Electronics",1
"Eleven",1
"Emporium",1
"Envy",1
"Equifax",1
"Expedia",1
"Experian",1
"ExxonMobil",1
"Fabric",1
"Facebook",1
"Fandango",1
"Farmers",1
"FAS",1
"Fast",1
"FedEx",1
"FID",1
"fil",1
"Fil",1
"Finlay",1
"FirstSource",1
"Fitness",1
"Five",1
"FOOD",1
"foods",1
"Footwear",1
"Force",1
"Forever",1
"Francescas",1
"FRED",1
"Friday",1
"Frisch",1
"Frischs",1
"Fuel",1
"G",1
"Gallery",1
"Garden",1
"GEICO",1
"Genesco",1
"Gold",1
"Good",1
"GOOD",1
"Goodwill",1
"Google",1
"Groupon",1
"Grove",1
"GSI",1
"Guess",1
"GUESS",1
"Gulf",1
"Guys",1
"Gym",1
"Hallmark",1
"Hannaford",1
"Hardee",1
"Hardware",1
"Harris",1
"Hess",1
"Hilton",1
"History",1
"Hobby",1
"Hollister",1
"Honda",1
"Hotels",1
"House",1
"HULU",1
"Hut",1
"Hutchison",1
"Huttig",1
"Hyatt",1
"I",1
"IAC",1
"IGIA",1
"IHOP",1
"Ikea",1
"In",1
"Ingles",1
"Inn",1
"Insurance",1
"Interactive",1
"InteractiveCorp",1
"Investments",1
"Island",1
"Israel",1
"IWT",1
"Jamba",1
"JCPenney",1
"Jennifer",1
"JetBlue",1
"Jewelers",1
"Jimmy",1
"Johns",1
"Jones",1
"Jos",1
"Jr",1
"Juice",1
"Kaiser",1
"Kangaroo",1
"Key",1
"KFC",1
"Kindle",1
"Kmart",1
"l",1
"LA",1
"LaSalle",1
"Later",1
"Lee",1
"LESS",1
"Levi",1
"LINKEDIN",1
"Lion",1
"LIRR",1
"Little",1
"LiveDeal",1
"LivingSocial",1
"Lobby",1
"Lobster",1
"Long",1
"Luby",1
"LUBYS",1
"Lululemon",1
"M",1
"Machinery",1
"Major",1
"Male",1
"MALE",1
"Manger",1
"Manny",1
"Manufacturing",1
"Marcus",1
"Marker",1
"Marriott",1
"Marshalls",1
"MART",1
"Massage",1
"MasterCard",1
"Materials",1
"Maverik",1
"Maxx",1
"Mayors",1
"Me",1
"Medifast",1
"Metered",1
"MetLife",1
"Meyer",1
"Microsoft",1
"Mile",1
"Miller",1
"Mobile",1
"Morton",1
"Mortons",1
"MTA",1
"Music",1
"N",1
"Nathan",1
"NATHAN",1
"Neighborhood",1
"Neiman",1
"NeimanMarcus",1
"Nepstar",1
"Nike",1
"Nyc",1
"Oil",1
"Olive",1
"Orbitz",1
"Out",1
"Outback",1
"Outdoor",1
"Pain",1
"Panda",1
"Pandora",1
"PANORAMA",1
"Pantry",1
"Parking",1
"Party",1
"Pathmark",1
"Payless",1
"PayPal",1
"PC",1
"Peet",1
"Penn",1
"Penney",1
"Perfumania",1
"PERFUMANIA",1
"Petco",1
"PETCO",1
"Petroleum",1
"PG",1
"pharmacy",1
"PharMerica",1
"plc",1
"Plc",1
"PLC",1
"Popeyes",1
"Ports",1
"Potbelly",1
"Power",1
"Pret",1
"Products",1
"PUMA",1
"Q",1
"QDOBA",1
"Queen",1
"Quixtar",1
"Quiznos",1
"QVC",1
"Radio",1
"Rail",1
"Ralphs",1
"Recipes",1
"Redbox",1
"Reebok",1
"Regal",1
"REI",1
"Republic",1
"Rick",1
"Road",1
"Roman",1
"Roses",1
"Roundy",1
"Ruddick",1
"Ruth",1
"Ruths",1
"Saks",1
"Sam",1
"Samsung",1
"Save",1
"SAVE",1
"Schmick",1
"Seafood",1
"SearchHelp",1
"Secret",1
"Security",1
"Sephora",1
"Services",1
"Shamrock",1
"Shell",1
"ShoeSource",1
"Shop",1
"ShopRite",1
"Signet",1
"Sirius",1
"Skype",1
"Snack",1
"Soda",1
"Solutions",1
"Soopers",1
"Sotheby",1
"Southern",1
"Speaking",1
"Spotify",1
"Sprint",1
"Sprout",1
"Stage",1
"Stakehouse",1
"State",1
"Station",1
"Steampowered",1
"STONE",1
"Stop",1
"store",1
"STORE",1
"Sub",1
"SUBWAY",1
"Sunoco",1
"Supercuts",1
"SUPERMARKETS",1
"SuperValu",1
"SUPERVALU",1
"Supplies",1
"Susser",1
"Systemax",1
"Taxi",1
"Taylor",1
"TAYLOR",1
"Teeter",1
"Texaco",1
"Thumb",1
"Time",1
"Times",1
"TIMES",1
"Tom",1
"Toyota",1
"Trader",1
"Traffic",1
"Travel",1
"TravelCenters",1
"Treasury",1
"Trends",1
"Tween",1
"Tweeter",1
"ULTA",1
"UNION",1
"United",1
"Universal",1
"UPS",1
"US",1
"USA",1
"USPS",1
"uWink",1
"Valero",1
"ValueVision",1
"vending",1
"Ventures",1
"Vertical",1
"Victoria",1
"Video",1
"Village",1
"Virginia",1
"Vistaprint",1
"Vonage",1
"VONS",1
"Waffle",1
"Wal",1
"Waldbaum",1
"Walgreen",1
"Walgreens",1
"Walmart",1
"Warner",1
"Watchers",1
"Weight",1
"Whampoa",1
"Whataburger",1
"Xbox",1
"XL",1
"XM",1
"Zale",1
"Zales",1
"Zappos",1
"Zaxby",1
"ZPass",1
