factual_id	IS_PHYSICAL_TRANSACTION	DESCRIPTION	CONVERTED_AMOUNT	TRANSACTION_DATE	MEM_ID	GOOD_DESCRIPTION	BILLER_NETWORK_ID	LAST_SUCCESSFUL_REFRESH	"CONCAT(COBRAND_ID,MEM_ID)"	IS_DELETED	TRANSACTION_LIST_ID	TRANSACTION_SRC_ELEMENT_ID	ASOF_EPOCH	COBRAND_ID	SHUFFLE_ID	CARD_TRANSACTION_ID	LAST_UPDATED	SUM_INFO_ID	"CONCAT(COBRAND_ID,CARD_TRANSACTION_ID)"	POST_DATE	TRANSACTION_STATUS_ID	AMOUNT_CURR	TRANSACTION_CATEGORY_NAME	MEM_ITEM_ID	CURRENCY_CONV_RATE	"CONCAT(COBRAND_ID,ITEM_ACCOUNT_ID)"	CARD_ACCOUNT_ID	CURRENCY_ID	ASOF	TRANSACTION_CATEGORY_ID	TYPE	EXTRACT_DATE_EPOCH	ITEM_ACCOUNT_ID	KEYWORD	ACCOUNT_SRC_ELEMENT_ID	AMOUNT
011e470a-655f-4b39-8044-0943af2f054e	1	BIRK'S RESTAURANT      SANTA CLARA  CA	7	2014.03.18	36478623			1395346015	1.00E+15	0		1873448249	1395346015	10001372	13741	3087575450	1395346015	12847	1.00E+17	2014.03.19	1	152	Restaurants/Dining	66899589	1	1.00E+16	35396793	152	2014.03.20	22	debit	1395423438	109637846	restaurant	1873448249	7
012eb2ee-94de-487b-860e-4ef3ad5680ef	1	PUBLIX #468              ATLANTA      GA	11.16	2014.03.17	13092887	Publix Super Markets		1395232513	1.00E+15	0		-1717696885	1395232513	10005640	15840	1266318907	1395232513	16455	1.00E+17	2014.03.17	1	152	Groceries	19534595	1	1.00E+15	16037635	152	2014.03.19	10	debit	1395325374	35486407	publix atlanta	-1717696885	11.16
0134a020-8917-472e-b03a-eb6f3d7f4176	1	CVS PHARMACY #1280 Q03 GREENWICH CT	9.02	2014.03.14	11052366	CVS Pharmacy		1395212443	1.00E+15	0		1252886048	1395126563	10006164	8294	687736183	1395126563	19267	1.00E+16	2014.03.17	1	152	Healthcare/Medical	12049892	1	1.00E+15	3322909	152	2014.03.18	11	debit	1395262152	28719436	cvs pharmacy	1252886048	9.02
0141267e-927b-4a8e-8123-c9318062273c	1	WALGREENS #6648 RESEDA CA	24.97	2014.03.17	10035001	Walgreens		1395294660	1.00E+15	0		-470283343	1395294660	10006164	15958	688940023	1395294660	19267	1.00E+16	2014.03.19	1	152	Healthcare/Medical	11594952	1	1.00E+15	3171360	152	2014.03.19	11	debit	1395349203	27959438	walgreens	-470283343	24.97
01480235-fcfb-4d94-a5eb-8e0a7dcc9f3b	1	SMUGGLERS COVE ADVENTU   BRADENTON    FL	27.18	2014.03.14	12858791			1395094359	1.00E+15	0		1968376095	1395094359	10005640	13258	1263440577	1395094359	16455	1.00E+17	2014.03.15	1	152	Uncategorized	19018775	1	1.00E+15	16120772	152	2014.03.17	1	debit	1395149388	35651692		1968376095	27.18
01498a41-e4e6-4255-bdc1-6da94e93046d	1	TARGET T1051 1051        TAMPA        FL	55.46	2014.03.18	14031341	Target		1395305423	1.00E+15	0		1922195031	1395305423	10005640	10597	1266622557	1395305423	16455	1.00E+17	2014.03.18	1	152	General Merchandise	21422402	1	1.00E+15	14445708	152	2014.03.20	44	debit	1395405633	28616664	target	1922195031	55.46
016bec4e-d2dc-4c16-83f6-3d2d6d0717b1	1	FRED-MEYER #0198         MERIDIAN     ID	62.18	2014.03.19	12208058	Fred Meyer Stores		1395411592	1.00E+15	0		526463829	1395411592	10005640	8567	1267893053	1395411592	16455	1.00E+17	2014.03.19	1	152	Groceries	17559443	1	1.00E+15	14008491	152	2014.03.21	10	debit	1395490031	26985672	fred-meyer	526463829	62.18
017d3fe8-5859-470b-a956-867fc0e7b9b4	1	ALE YEAH! CRAFT BEERDECATUR     XXXXXXXXXX	14.96	2014.03.14	29029415			1395015170	1.00E+15	0		1871448088	1395015170	10001372	13230	3082591020	1395015170	12	1.00E+17	2014.03.15	1	152	Home Improvement	53671385	1	1.00E+15	30463068	152	2014.03.16	13	debit	1395077886	86277566	craft	1871448088	14.96
017f6a13-cc8a-44b1-a12e-3e9b5834b59a	1	THRIFT TOWN #3         SAN FRANCISCOCAUS		2014-01-03	SF									Fake Bank		3088651008																				
01a883fc-1181-4ec6-b823-07d1517f4d9a	1	ACADEMY SPORTS #20 COLLEGE STATITX	32.46	2014.02.24	22898767	Academy Sports		1395291675	1.00E+15	0		-2144304644	1395266297	10006164	15797	688618955	1395266297	19267	1.00E+16	2014.02.24	1	152	Hobbies	16273549	1	1.00E+15	3355987	152	2014.03.19	34	debit	1395349175	28873466	academy sports	-2144304644	32.46
